Titel;LibrisId;URN:NBN
Differences between psychoanalysis and psychoanalytically oriented psychotherapy :;8394799;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179934
Development and characterisation of SiC based sensors for harsh environments /;8397744;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179724
Quality practice :;8399842;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-187030
Development of preprocessing methods for multivariate sensor data /;8416512;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179728
Nano and micro patterned organic devices :;8416720;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179729
Substance flow analysis for environmental management in local authorities :;8423194;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180129
Modeling driver behavior :;8424348;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180131
Cooperative reactive sites in designed helix-loop-helix polypeptide catalysts /;8426556;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179918
Usefulness in representation design /;8427603;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179919
Identification of simple structures in complex substance transport models /;8428546;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180152
Modeling of energy-efficient robots for lightweight, high volume assembly :;8428796;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179922
Synthesis and development of methods for preparation of inositolphosphoglycans, glycoglycerolipids and glycerophospholipids /;8550598;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179768
Considering external costs :;8587688;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179776
Simulation of delamination initiation and growth in fiber composite laminates /;8601761;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179779
Design, synthesis, and structure-activity relationships analysis of potential inhibitors of the serine protease thrombin and the malarial aspartic proteases plasmepsin I and II /;8693635;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179737
Electronic structure of some SiC and Be surfaces /;7624683;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180126
Molecular probing of local protein-protein interactions :;7624698;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179718
Modeling and characterization of nonlinear materials for protection of optical sensors /;7624704;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179687
Optimization models and methods for communication network design and routing /;7624737;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179925
Studies of local interactions between and within proteins using site-directed labeling techniques /;7624771;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180125
Characterization of process-related defects in silicon carbide by electron microscopy /;7638678;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179683
Tuneable recursive active monolithic microwave integrated circuit filters /;7638681;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179782
Affinity biosensors for carbohydrate-protein interactions using surface plasmon resonance /;7638690;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179682
Ammonia-oxidising bacteria in soil :;7638729;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179786
Broadband electromagnetic scattering and shielding analysis using the finite-difference time-domain method /;8372565;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180150
Organizational capabilities :;7624494;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186979
Diagnostic aspects of fear of childbirth /;8374215;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179937
Null ellipsometry and protein adsorption to model biomaterials /;8374252;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180146
Growth of wide-band gap AIN and (SiC)x(AIN)₁₋x thin films by reactive magnetron sputter deposition /;8374258;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180243
New algorithms for general sensors, or, How to improve electronic noses /;8374262;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180145
Discrete aperiodically ordered structures in low dimensions /;8374273;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-179923
VLSI architectures and arithmetic operations with application to the Fermat number transform /;7671641;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183015
User-defined constructions in unification-based formalisms /;7671788;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183016
Rotordynamic analysis with special reference to composite rotors and internal damping /;7671793;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182996
On the application of experimental design in robust design engineering /;7671810;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182991
Conditional subgradient methods and ergodic convergence in nonsmooth optimization /;7671811;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182989
Decision support for strategic traffic management :;8374276;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184334
Contributions to the industrial use of design of experiments /;7671826;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182987
Human engineering of sensor fusion systems in fighter aircraft /;8374316;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184332
Thermal responses of the hand to convective and contact cold - with and without gloves /;7595406;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182985
Interfacial design and characterization of oligo(ethylene glycol) self-assembled monolayers :;7624692;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186036
Spectroscopic studies of doped GaAs/AlGaAs quantum wells in the high carrier density regime /;7624674;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186057
Gas sensitivity of modified metal-oxide-semiconductor devices /;7671837;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182984
Strategic positioning of the emerging third-party logistics providers /;7624581;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186981
Data evaluation for an electronic nose /;7671838;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182850
Life histories and population dynamics /;7624643;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185674
Investigation of surface and interface phenomena in silicon and silicon dioxide systems /;7671840;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182843
Molecular adsorption on self assembled monolayers studied by surface acoustic waves and infrared spectroscopy /;7671845;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182841
A digital filterbank hearing aid /;7671847;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182555
Chinese culture and Chinese business negotiating style /;2875553;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186980
Studies of light emitting devices based on Er-doped Si and SiGe layered structures /;7624628;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185670
Photoluminescence in conjugated polymers :;7624624;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185682
Gas-sensors for automobile interiors /;7624639;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186983
Identification and forensic classification of amphetamine /;7624600;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181856
Groupthink :;8839009;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186746
Thinking forwards and backwards :;7624635;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-187006
Hydrogen extraction with palladium based membranes /;7624629;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181555
Luminescent polymer films in layered devices :;7624538;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185926
Development of transmission electron microscopy techniques for the study of thin films /;7624525;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185922
Hearing screening of infants and the importance of early language acquisition /;8372553;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186915
An empirical study of requirements-driven impact analysis in object-oriented software evolution /;7671850;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182444
"""sätta flickan i stånd att fullgöra sina husliga plikter"" :";2340887;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186911
On control and interaction in complex distributed systems and environments /;7624686;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181153
Surface plasmon resonance :;7624506;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185686
Ecology and conservation of the butterfly Lopinga achine /;7624486;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186033
Process efficiency and capacity flexibility :;7624466;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185676
Three perspectives on supply chain design /;7624576;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186717
Aperiodically ordered structures in one dimension /;7624238;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181970
Planned change and inertia :;7624247;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182280
Quality and ergonomics :;7624462;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184331
Organic photodiodes;7624472;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184196
Parallel numerical procedures for the solution of contact-impact problems /;7624473;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184184
On complex hydrostatic transmissions :;7624280;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181971
Polymer light emitting devices :;7624283;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181982
Electron transport and chaos in model mesoscopic systems /;7624488;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183821
Biophysical studies of protein folding, aggregation and interactions with molecular chaperones /;7624512;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183817
Gas flow and chemical reactions in submicron channels /;7624291;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181554
Complex cavity analysis :;7624297;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181566
Experimental methods in valve characteristic assessment /;7624299;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181861
Van der Waals and Casimir interactions near metal films /;7624524;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183663
Spark advance modeling and control /;7624310;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181863
New instrumentation for forensic applications;7624527;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183661
On curvature-free connections and other properties of the Lanczos spinor /;7624530;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183660
Enterprise oriented design for manufacture :;7624322;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181141
Topics in sparse least squares problems /;7624531;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183658
On the arbitrary Lagrangian-Eulerian finite element method /;7624535;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183541
Computational nonsmooth mechanics :;7624652;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183483
In search of quality management :;7624336;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180988
Model based fault diagnosis :;7624346;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181133
Offset management for large systems :;7624577;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186711
Towards a model of lean freight transport operations /;7624276;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186706
Optical modeling and characterization of layers and multilayer structures :;7624374;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181865
A toolbox for sensor data fusion in industrial automation /;7624378;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181866
Surface plasmon resonance for the detection of coagulation and protein interactions /;7624440;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185683
Loop :;7624414;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186701
Multisensor arrays for bioprocess monitoring /;7624431;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186034
Affinity biosensors with porous and multi-array surfaces /;7624430;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185134
Sputtered carbon nitride thin films /;7624418;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185133
Growth of Ag/Ni thin films and multilayers /;7624417;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185131
High growth rate epitaxy of SiC :;7624413;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185495
Conformational studies of protein structure and dynamics /;7624454;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181972
Optimization of structures in contact /;7624456;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181978
High data throughput CMOS circuits;7624159;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181980
Deep levels in electron-irradiated and as-grown SiC power device material ;7624160;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181560
Characterisation of structural and catalytic properties of Pd grown on MgO;7624162;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181569
Finite element analysis of case-hardened roller bearings;7624169;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181124
Non-equilibrium surfaces of metallic thin films;7624173;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181134
Thin films and multilayers of YBa₂Cu₃O₇₋?δ and SrTiO₃ ;7624216;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181149
Growth, characterization and thermal stability of CeO₂ thin films;7624217;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181144
Characterization of Si-based heterostructures prepared by MBE and containing Ge, C, or Er;7624225;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181150
Structure and properties of perovskite SrTiO₃ and Na₀.₅K₀.₅NbO₃ thin films fabricated by rf magnetron sputtering;7624230;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181849
The transistor, with emphasis on its use for radio frequency telecommunication /;7623999;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181129
Silicon carbide growth by high temperature CVD techniques :;7624373;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185493
Systematic design of assembly systems :;7624026;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180991
Waves and trajectories in quantum dots /;7624033;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180989
Nonlinear optical properties of fullerenes, oligomers, and solutions /;7624038;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-180982
Cubic response theory and the electromagnetic properties of ground and excited states /;7624040;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181854
Modelling microslip friction damping and its influence on turbine blade vibrations /;7624041;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181151
On constitutive modelling of the compaction and sintering of cemented carbides /;7624047;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-181557
Fractal methods for greyscale image data compression;7671854;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182442
Protein-protein interactions affecting protein-surface interactions /;7671856;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182441
Dynamics of rotors influenced by rubbing contacts /;7671859;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182423
Driveline modeling and control /;7671860;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182422
Opinion-based systems :;7671861;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182416
Social and organizational aspects of requirements engineering methods /;7624365;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185165
On implementation of maximally fast wave digital filters /;7671870;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182415
Theoretical and optical investigations of some III-V based quantum wells and modulation doped heterostructures /;7671875;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182438
Bound excitons in silicon carbide /;7624334;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185150
Power estimation and low power CMOS circuit techniques /;7624332;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184779
Silicon carbide field-effect devices studied as gas sensors for exhaust gas monitoring /;7624323;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184778
The silicon vacancy in SiC /;7671877;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182437
A/D conversion for sensor systems /;7671883;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182434
Dot gain in colour halftones /;7671907;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182430
Fatigue and corrosion fatigue fracture of a plasma nitrided, laser hardened and galvanized B-Mn steel /;7671911;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182420
Active database management systems for monitoring and control /;7623900;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182839
Studies on the design and implementation of digital filters /;7624319;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184776
Fabrication, characterization and applications of porous silicon thin films and multilayered systems /;7624312;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184775
Estimering av efterfrågan på långväga persontransporter :;7624025;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186697
Automatic verification of Petri Nets in a CLP framework /;7623909;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182551
On the application of designed experimentation for customer focused product development /;7624303;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-185129
Electronic structure and transport in nanofabricated low-dimensional semiconductor systems :;7623910;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182549
Thermomechanical modelling of tribological systems /;7623911;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182548
Algorithms and complexity for temporal and spatial formalisms /;7623916;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182547
Application of fast backprojection techniques for some inverse problems of integral geometry /;7623918;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182546
Theoretical investigation of resonant-tunneling structures /;7623920;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182465
Analysis and synthesis of heterogeneous real-time systems /;7623928;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182463
Methods to improve the selectivity of gas sensor systems /;7624286;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184915
Compiler generation for data-parallel programming languages from two-level semantics specifications /;7623936;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182459
Surface and interface phenomena studied with Pd metal-oxide-semiconductor structures :;7623984;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182447
Techniques for the determination of the optimal performance of high resolution computerised tomography /;7623987;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-182440
Ternary codes with weight constraints /;7624285;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184913
Electronic structure of intrinsic and doped silicon carbide and silicon /;7624278;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184912
Arc evaporated titanium carbonitride coatings /;7624260;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184604
Förändringsidéer och meningsskapande :;7624074;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186684
Organizing timebased distribution in transnational corporations :;7671827;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186682
Photoluminescence studies of the electronic structure in some III-V quantum structures /;7624241;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186039
CMOS A/D converters for telecommunications /;7624214;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184605
Reactive sputtering of cubic-phase BN:C and nanostructured B-N-C films :;7624208;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184608
Bonding and diffusion of molecules in zeolites by ESR and ENDOR /;7624143;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184615
Sputter deposition, mechanical properties, and thermal stability of nitride based superlattices /;7624096;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184618
Food webs and the distribution of body sizes /;7624079;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184619
Synthesis and realization of high-speed recursive digital filters /;7624078;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186317
Error-correcting codes based on chaotic dynamical systems /;8372490;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183481
Design and modelling of a parallel data server for telecom applications /;8372491;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183320
Towards effective fault prevention :;8372492;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183318
Adsorption of organic phosphines and thiols on metal surfaces /;7624050;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183317
CAD integrated quality control /;7624051;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183315
Conjugated luminescent molecular materials :;7624053;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184189
On robot feedback from range sensors :;7624065;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184082
Low molecular weight organic acids and their aluminium complexes in forest soils /;7624067;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184336
Atomically resolved ac-mode atomic force microscopy in ultra-high vacuum /;7624076;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184188
The interaction between the chaperonin GroEL and human carbonic anhydrase II :;7624077;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-184182
A measurement approach to some robot related issues :;7624101;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183984
Soliton methods in the theory of integrable mechanical systems /;7624105;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183983
CMOS parallel-sampling receivers /;7624106;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183982
Electronic structure and optical properties of InGaAs and InAsP semiconductor quantum wires /;7624107;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183980
Thermal system analysis :;7624131;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183827
Singular value computations for Toeplitz matrices and subspace tracking /;8372506;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183826
Optimisation of local and national energy systems :;7624239;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183822
Third party logistics :;7671831;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186679
Lp-contractivity of semigroups generated by linear partial differential operators /;7623989;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183659
Boundary layer approximate approximations and cubature of potentials in domains /;7623994;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183480
Microstructural, residual stress and thermal shock studies of plasma sprayed ZrO₂-based thermal barrier coatings /;7624002;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183479
Growth and structural characterization of silicon carbide crystals /;7624003;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183324
On robot control using range sensors :;7624004;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-183324
Patient and relative perspectives regarding quality in hospital care for older people :;8857106;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186673
Compensation for hearing loss and cancellation of acoustic feedback in digital hearing aids /;7624517;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-186400
On the reporting of dental health, time for dental care, and the treatment panorama :;7624186;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-187033
