86lnkhws22bm6js	0000000116499115
64jlhh1q4p691pz	0000000122834186
zw9c88vh5qph3vj	0000000108915481
86lnkk7s5jsb8hl	0000000053386761
b8nqmm9v0ps5xfv	0000000109284036
gdsvrrg05356z6q	0000000116896727
vs6855vd0zjkx0c	0000000121326729
42gjff7n4k2084g	0000000109232252
86lnkkcs4fvjn7z	0000000109025325
b8nqmmfv1321r23	0000000138442689
75kmjjdr3s5cd1j	0000000108160138
97mpllgt1qgfv6h	0000000051897939
c9prnnjw3pvjc5f	0000000081375592
gdsvrrp04kkc2nt	000000038188580X
zw9c886h5phr8n9	0000000109330514
ljx0www41bkd0c8	0000000082227348
dbqsppqx30t4b4k	0000000382683097
gdsvrrv00rg5kh1	0000000081743850
20dgcchl4vct49b	0000000120464564
tr57449c56f1ll7	000000011029328X
20dgccjl3k6bk9p	0000000117723895
86lnklss54m2zc4	0000000066629873
zw9c89jh5ts8cvv	0000000061480096
dbqspqzx3hn5pzx	0000000109072463
gdsvrs301bztt4d	000000007781760X
jgvxtv524wbqzn0	0000000114781758
b8nqmnzv0lp7hsq	0000000110681960
1zcfbcpk250bd1j	0000000109374621
wt7967lf0szt5fj	0000000081413974
b8nqmn2v06g4mgq	0000000081305682
jgvxtv920hzq2q2	0000000077798381
53hkghxp49trht4	000000006962404X
dbqspq5x4jjrskx	0000000083533443
ljx0wxd430l8pwj	0000000081626769
64jlhj0q2115n8k	0000000109392985
nl02z0h61ld9t3c	0000000110594429
tr5745nc26615k3	0000000118219842
zw9c89vh5msndl3	0000000108018836
mkz1xzk54kxgrpc	0000000114787017
rp3523p94qjjdgl	0000000061583415
tr5745rc509klh3	0000000066349732
42gjfg2n0xdfd8n	0000000107988400
dbqspqbx0wl6c4b	0000000078539365
pm1301n740c45mj	0000000110471402
xv8b78wg1vlbj3f	0000000066787337
fcrtqrdz17hb107	0000000066331540
pm1301p75r3sz4m	0000000052612448
pm1301r7003pzh7	0000000116178944
53hkgh7p0q9rt2r	0000000081845902
jgvxtvm23nmhmt2	0000000382757981
xv8b781g27npmbl	0000000108798051
20dgcd5l2gchl9w	0000000109174734
64jlhj9q3c38wdl	0000000121035964
dbqspqhx2m4rsl4	0000000081879117
zw9c894h5hllcm8	0000000115913177
nl02z0v64b3cdjf	0000000120295502
31fhdf9m174lt81	0000000392531572
zw9c897h2fbf1w2	0000000121451941
jgvxtvt22fr84ww	0000000114782144
tr57454c0spzn3h	000000010872372X
gdsvrst00xqbttj	0000000110608157
tr57457c5k3qgkl	0000000121192847
dbqspqsx25qxzw2	0000000110269204
jgvxtvz23szwrh9	0000000054482405
ljx0wx340kql3b4	0000000122817968
gdsvrt001tg68q1	0000000061561099
hftwsv110w5j98h	0000000045854940
nl02z16647vm200	0000000081602644
zw9c8bhh19fxm3p	0000000081707331
wt7968gf3zl7j3t	0000000117640301
86lnkmts0z5b1t7	0000000110639615
gdsvrt20044fxr9	0000000110707040
75kmjlvr4t0lvz9	0000000121311500
vs6857kd5cqrf66	0000000063231034
97mpln1t0smq3n0	000000012124394X
0xbd9csj4kx0w91	0000000083872031
75kmjl1r3l2s6sh	0000000109568215
b8nqmp4v5fjphvs	0000000108581047
hftwsvb12g8qlsl	0000000083553006
sq4635mb3k0w9jr	0000000120532651
75kmjl2r0lp4v6d	0000000108704414
64jlhk2q31lzlhq	0000000122839163
97mpln5t0ljd6ct	000000011028827X
42gjfh1n0v6czcf	0000000109920311
vs6857td46jknww	0000000121265698
xv8b79wg250tgvx	0000000116649873
b8nqmp9v3vt53fw	0000000080788432
hftwsvh10mm8j17	0000000066860012
20dgcf2l2v2zwlj	0000000109041712
dbqsprdx15v5nt1	0000000066812942
64jlhk7q5p7tn82	0000000083664267
mkz1x0p555zv79x	0000000081081121
jgvxtwn21gzfbz9	0000000108139873
64jlhkbq2mf9621	0000000108547834
tr57460c2nh5h29	0000000110236322
86lnkmfs0nmpj6c	0000000108758471
53hkgjcp396pvgj	0000000051606118
0xbd9c8j2h07s6q	0000000054900902
b8nqmplv5ddb50t	0000000004736219
sq46353b4ll3nvp	0000000061358728
tr57464c4dd8dtk	0000000067820784
vs68575d0vrs20z	0000000403459116
75kmjljr1n8bmf0	0000000383584541
sq46354b57bzclv	0000000053386905
vs68576d09kp1tx	0000000109801558
tr57468c36rxz98	0000000032663539
1zcfbdgk29xg3nw	0000000081630215
64jlhkmq08c7x89	0000000083571933
97mplnrt5h4dzxc	0000000053367827
xv8b79fg04m2bs7	0000000108451568
dbqsprwx0h7w4qt	0000000385338766
dbqspsxx5j3zthf	0000000121467214
ljx0w05454nnv09	000000005303642X
mkz1x1653g8dh3k	0000000084059560
pm1303872rjkh99	0000000120225512
b8nqmqwv20zzpgw	0000000078536631
b8nqmqxv5g8wf78	0000000052019636
97mplpxt3rwdl42	0000000081223388
dbqsps1x50prf27	0000000389060159
hftwsw5134db1jn	0000000394270628
jgvxtx620d6zgj2	0000000013504866
ljx0w0845prwb6m	0000000078497193
nl02z2b60hr9g4m	0000000115702054
rp3525f932rn3wn	0000000121484954
sq4636gb5971mlh	0000000379848102
xv8b7blg55w3b8q	0000000051127379
31fhdhrm3n3hdgh	0000000071404054
b8nqmq0v1gj0gmw	0000000081572545
jgvxtx7225jwfkw	0000000106199629
nl02z2c621v09qn	0000000082308092
vs6858kd2pc2tlq	0000000051477555
xv8b7bmg3l63627	0000000062285292
1zcfbfqk03wxt6k	0000000117977852
31fhdhsm561td5j	0000000121445787
42gjfjtn3099zdr	0000000080090050
gdsvrv704x9hccq	0000000118623669
hftwsw813pq021d	0000000081960740
ljx0w0c44ssf0g1	000000010878029X
rp3525k94t9f617	0000000081602660
vs6858nd23zv7c6	0000000079033497
khwzvzf32025d6d	0000000108661258
64jlhl2q0djxqtq	0000000116917890
khwzvzg32tq54tp	0000000118674159
mkz1x1j53f2cjp0	0000000453125755
rp3525n93lcg5sk	0000000079929859
0xbd9dwj1j834lh	0000000118125387
86lnkn5s449mp26	0000000045479407
khwzvzh300ww4k8	0000000068749895
vs6858sd2jsn6m7	0000000119115586
53hkgk3p2lksc4s	0000000108150263
97mplp7t2pz0949	0000000081119783
42gjfj4n3p9jh47	000000007885471X
64jlhl7q2937m7g	0000000121336644
42gjfj6n4hpqdd0	0000000106542757
75kmjmbr2pxdt8f	0000000080839906
vs68582d31r7nlw	0000000083967532
20dgcg8l295ttdf	000000012133338X
0xbd9d7j5v0zmvm	000000006682349X
42gjfjcn0b1ksrz	0000000080770558
0xbd9d8j4wmfh56	0000000080898930
42gjfjdn49601t8	0000000081541503
97mplplt0ltc667	000000012031278X
dbqspsqx0jxhzjr	0000000109277477
31fhdhgm24pgq3p	0000000121460741
c9prnrqw3qln0xt	0000000121437234
dbqspsrx15m8v40	0000000116145413
20dgcggl3zj3zdv	0000000110352251
gdsvrvw02dr60n5	0000000110294610
mkz1x1250k8w346	0000000116482356
qn2414582cllfc1	000000011006927X
rp3525690cjjjhr	0000000121449518
wt796bff5jtpfr2	0000000109907782
xv8b7cgg2k58tcp	000000008164967X
20dgchml0ln0f9w	000000010903191X
hftwsx311ttczb3	0000000116555826
pm1304974827xjq	0000000110633272
sq4637db1fgt3d0	0000000054723133
gdsvrw401lv13bx	0000000109619756
jgvxtz623vj1bqd	0000000114409817
khwzv07354hmqng	0000000081679238
42gjfksn0cg38cs	0000000374949131
b8nqmr0v5ql1bl3	0000000118854053
20dgchrl10ngndl	0000000119541550
86lnkpzs1d0nk6s	0000000121222372
75kmjnzr5f2xc2w	0000000115877639
86lnkp0s2lxv7dd	000000008367772X
20dgchtl1p005gk	0000000121001588
khwzv0c3343vp3t	0000000073283890
31fhdjwm2ldvx9b	0000000076902757
42gjfkxn0sff5ct	0000000066876487
vs6859pd1wwlj21	0000000079765727
20dgchwl43pk639	000000006333165X
42gjfkzn3rvc8bx	0000000111084121
53hkgl0p4vb8bm4	0000000121227579
b8nqmr5v1rjq9hh	0000000116901135
sq4637nb2j7920k	0000000052366654
xv8b7csg2dh477v	0000000071500695
86lnkp4s1hnsc91	000000007326952X
0xbd9fwj5qx1wf7	0000000354558635
20dgchzl0njcmh0	0000000066627456
wt796btf3p9q189	0000000109680952
64jlhm4q1vbw5mg	0000000047302867
b8nqmr8v1zx1fgf	0000000120060105
dbqsptbx42hr2gq	0000000078446927
gdsvrwf03t34jxk	0000000000383567
42gjfk3n2k314cn	0000000045470146
42gjfk5n1b0ksq4	0000000082063144
sq4637xb00dnj7z	0000000071477376
vs68591d22zr3h8	0000000082108963
xv8b7c4g27wk941	0000000120962571
mkz1x2w52264sxd	0000000109691504
nl02z3x64gn8gks	0000000122842274
0xbd9f8j50j85wk	0000000118760831
53hkglhp2ls9w7s	0000000082763415
tr57487c4kqt24c	0000000121441866
42gjfkkn1q6lwd4	0000000453019610
64jlhmpq25r4qpj	0000000121310516
vs685bdd3fg022w	0000000109244915
42gjflnn1twncs4	0000000023524780
sq4638cb04kntnb	000000012119536X
75kmjpsr330bnd5	0000000458754534
vs685bgd4gzv8zm	0000000109224666
86lnkqws2vm6z9w	0000000023559676
sq4638gb1mscrnb	0000000061858319
31fhdkrm14h5rzs	0000000083641348
mkz1x3b52j063jm	0000000066865358
31fhdksm1qtl0qm	000000005179530X
khwzv193153d2m5	0000000356380949
ljx0w2b43z817xs	0000000083779427
sq4638jb43f53tb	0000000080878411
97mplr1t0h9fbl3	0000000374553436
ljx0w2c42qzl46n	0000000071477368
75kmjp0r4vlv6hh	0000000121230006
vs685bnd5m9l1dz	000000008392900X
31fhdkwm2895klt	000000043499498X
fcrtqw7z1nwqn4v	0000000121269947
pm1305j746l8mtb	000000008481460X
rp3527l91tskp3z	000000008167885X
vs685bpd1gkjc7q	0000000121174753
53hkgm0p4dwb0p9	0000000445940100
64jlhn1q21sgl1h	0000000123145198
75kmjp2r124ctvw	0000000121307798
c9prnt6w0xwhrmx	0000000453027442
fcrtqw8z4qg3c1w	0000000080992759
mkz1x3h50jhjwhv	000000044221711X
vs685brd5g7cpgh	0000000079901004
mkz1x3k51hc2714	0000000081631891
31fhdk1m1tzwh48	0000000082308658
jgvxt0h220xqx70	0000000066880670
pm1305n70wp33p3	0000000121305338
vs685btd36hrkmd	000000012120836X
20dgcj1l2fxfk36	0000000119485835
31fhdk3m1835l41	0000000054889467
hftwszj12k3c97h	0000000082225000
khwzv1l32zk95cc	0000000077788386
ljx0w2m40pzr31j	0000000122097796
31fhdk4m1p8fjxd	0000000051862170
64jlhn7q4hp7wn9	0000000386956048
97mplrbt22r6fzd	0000000373986918
wt796czf112zkpc	000000007890043X
42gjhp9n5hs4l0k	0000000051836802
b8nqpwhv0kfcxj4	0000000116162467
c9prqxjw2j3q8q6	0000000124358195
ljx0z5s40w3wghd	0000000116281124
qn2439x812f9w37	0000000115762604
wt798g4f52qzclt	000000011759910X
20dgfm9l1pgggkc	0000000109204411
42gjhpcn24dv0lq	0000000121438026
hftwv2r1010q2bm	0000000061573049
qn2439082r91lj3	0000000066453353
wt798g5f5n47qzn	0000000110316808
xv8b9h6g2cswzzr	0000000116687677
42gjhpdn5bv14mf	0000000110642507
75kmlshr2lnghkc	0000000051815745
b8nqpwlv013bvlq	0000000110226474
mkz106x52zff12t	0000000050517623
nl0217z60jx1r8r	0000000114467005
rp354b29341gh7x	0000000110615461
zw9cbj8h1vm7w2k	000000010920952X
1zcfdlbk49s9q5r	0000000078715752
20dgfmcl10vh5fb	000000005336401X
97mpnvlt1pssrgj	0000000081789912
c9prqxnw3s03q32	0000000110263857
gdsvt1s00c8dd6s	000000003561293X
mkz106z526f8t8h	0000000080401912
nl0217065q1pzb1	0000000082500068
sq465c4b06dnqmc	0000000051795342
tr576d5c2w5svmt	0000000384420805
42gjhpgn1lbtqf4	0000000384590820
86lnmtls1h46xm9	0000000116735894
c9prqxpw4zdcm4f	0000000026421453
dbqsrzqx1n8qc6s	0000000362194560
fcrts0rz1g1rf4v	000000011221176X
hftwv2v10wms3mr	000000005051270X
khwzx4x34jrjrjp	0000000114443767
ljx0z5z4212ms54	0000000054482421
nl02171645z3vmn	0000000115871085
qn2439381vg8jd1	0000000374110790
vs687f7d3jfxlfq	0000000061256406
zw9cbjbh02zc43p	0000000110816589
1zcfdldk5csf1vm	0000000067266453
20dgfmfl2st6ft8	0000000063042380
31fhgngm09kx5zl	0000000114691437
53hkjqjp0l1m39z	0000000119300124
75kmlslr5lk3hv3	0000000066797391
c9prqxqw5kxs9q2	0000000110346599
mkz106153jvv49c	0000000384486353
nl02172602mtf5k	0000000038397286
rp354b593cr045x	0000000051897963
vs687f8d0ngklr9	0000000059614032
xv8b9hbg5m0ng86	0000000049501288
31fhgnhm35lkxlh	0000000051337587
97mpnvpt1wtbn0q	0000000053406339
fcrts0tz22gb3x9	0000000110317173
nl0217364v80gk7	0000000084203139
pm1328473rsqhzt	0000000110209295
xv8b9hcg0htsrh4	0000000054482456
zw9cbjdh27mnqdn	0000000054413426
0xbdckfj5pvqb8q	0000000116828804
20dgfmhl0plh60t	0000000079709995
gdsvt1x01mk8sth	0000000055395741
mkz1063518dh7hx	000000011064764X
nl02174640l1khv	0000000108555543
tr576d9c0xv7630	0000000067788737
zw9cbjfh1288jbr	0000000039269497
42gjhpln2pff8qm	000000010676638X
khwzx4235mrjmhq	0000000038247827
nl0217563255d5f	0000000121478642
pm1328675kfdrk3	000000005011420X
qn24397827sdssd	0000000116479261
sq465c9b5dkdv9w	0000000066511998
0xbdckhj01fdbrb	0000000073578445
20dgfmkl58j5jn3	0000000081395892
31fhgnlm3c7kzst	0000000063064010
53hkjqnp3233q3d	0000000054904399
fcrts0xz36g9fvd	0000000050114218
khwzx53342v57bg	0000000050687665
mkz10755214np7p	000000010905875X
nl0218664fn7q6f	0000000111529952
pm1329774625qpk	0000000071042372
sq465dbb14fhdqt	0000000050993136
xv8b9jgg17mgpp2	000000007863889X
53hkjrpp2hsgcrl	0000000052019708
gdsvt21002m80bw	0000000071520805
jgvxw4325g6t3gm	0000000051883529
khwzx5433jwfk8k	0000000051980716
qn243b9808zwwn9	0000000378246791
sq465dcb1qtzg2n	0000000434860412
tr576fdc1c4354l	0000000110599860
64jlksrq49g6hv5	0000000078719585
75kmltsr4p5qhkk	0000000116652618
dbqsr0zx231hwvm	0000000364123969
fcrts10z10l8kjk	000000006659966X
khwzx55359xlg48	000000005114358X
pm1329975556rzh	0000000082200559
sq465ddb2clvmgm	0000000035930700
tr576ffc0cj98d5	0000000116754200
wt798hhf5ttq5gk	0000000061308704
zw9cbkkh0jfmxxd	0000000458766877
42gjhqqn54qsf9v	0000000065757101
53hkjrrp3gb6njb	0000000114426975
b8nqpxxv06czbxk	0000000082427059
fcrts11z3j9d4fl	0000000053202512
hftwv341385zzc5	0000000103994870
khwzx56326dp2nh	0000000054630754
pm1329b72cbkg7x	0000000110395614
sq465dfb0xg3g8m	0000000063075625
wt798hjf41mrb65	000000010891610X
0xbdclmj4dshlsq	0000000383867779
53hkjrsp1m36vf6	0000000121406171
64jlkstq53ckl58	0000000109009827
97mpnwxt1gctsdz	0000000384231828
b8nqpxzv5004cqr	0000000121205580
dbqsr01x1fgkm1g	0000000109029385
fcrts12z1p29wk4	0000000120266808
khwzx5732zqx8gr	0000000050427791
tr576fhc2nt6x4g	0000000083543967
wt798hkf3k2f7k8	000000006500680X
xv8b9jlg03rl42f	0000000385948804
20dgfnql08swndl	0000000080185279
42gjhqsn1rcc06w	0000000051508446
b8nqpx0v3rc22g6	0000000071490300
fcrts13z168frgc	0000000121007576
pm1329d74mksr0t	0000000114681183
rp354cg911gbc4g	000000007854093X
sq465dhb2wxr1ch	0000000107832844
tr576fjc05rjpt1	000000008111881X
wt798hlf592wl91	0000000061224332
xv8b9jmg2qvgc8j	0000000083320800
1zcfdmqk55bjrpn	0000000121263430
75kmltxr5vc3qv2	0000000115842313
c9prqz2w5p8rv99	0000000052885673
gdsvt26055xv0zp	0000000053268685
khwzx5932rgm225	0000000082702436
nl0218d605vkssq	0000000041846898
rp354ch93h2zn6m	0000000383608048
vs687gld0ht3nk0	0000000050596819
0xbdclqj0d4tw0w	0000000117921365
42gjhqvn3m96c45	0000000119781714
53hkjrwp5c320zt	0000000071911881
c9prqz3w004991j	0000000108149967
gdsvt27033d7t32	0000000078488852
jgvxw4922dnc00x	0000000120987736
nl0218f62j1prn1	000000005481991X
sq465dkb3z0xrc5	0000000110743543
xv8b9jpg3x2p2w8	0000000061239120
0xbdclrj1kmh14b	0000000052671333
1zcfdmsk14hvk9q	000000007266662X
31fhgpvm4wjwkrk	0000000052288887
42gjhqwn4591p7x	0000000050345833
97mpnw2t4j2625r	0000000053387238
c9prqz4w0zqkq41	0000000081012556
ljx0z6d45svsvz6	0000000061381397
qn243bj85m2j2mz	0000000051497185
rp354ck9311lb8k	0000000066843378
wt798hpf2sbrbk8	0000000116880063
xv8b9jqg57llf93	0000000051730274
20dgfnvl5g9dd6b	0000000053357418
42gjhqxn4l3fh5p	0000000116866392
53hkjrzp4cw32bf	000000035578700X
64jlks0q0v7gpqw	0000000108558568
hftwv3b13sn5qtv	0000000052346493
nl0218h618z8g95	0000000118733200
qn243bk854hd1x0	0000000110767457
rp354cl93vj946g	0000000110717812
vs687gpd47czf5w	000000011631300X
xv8b9jrg1vj8zwv	0000000078630759
0xbdcltj4dh6308	0000000115976637
1zcfdmvk4lpng54	0000000109001331
20dgfnwl20zgqq7	0000000078260110
31fhgpxm12nbsjp	0000000110255670
42gjhqzn1sx6pjx	0000000110709863
75kmlt2r4x4z9l2	0000000052739086
c9prqz6w4sz00lr	0000000089942221
gdsvt2b03n57q5s	0000000108622291
hftwv3c15bkb9sn	0000000108962544
khwzx5f304js900	0000000108913558
mkz107h55hngjsk	0000000108548116
31fhgpzm5v8htrz	000000005265201X
64jlks2q1jpm53b	0000000366970299
b8nqpx6v1kghhg1	0000000109554323
c9prqz7w15pzgwp	0000000066937665
gdsvt2c044rpgvk	0000000018969021
ljx0z6h4444m964	0000000115897226
31fhgp0m2ztj10b	0000000116108313
53hkjr2p3fgkjs5	0000000066509206
64jlks3q08wgz4c	0000000053109529
fcrts1bz3k51w7t	0000000449339574
gdsvt2d04m9h68s	0000000109849615
jgvxw4g20wfwxsx	0000000074025439
khwzx5h31tqk0z4	0000000083639897
ljx0z6j44qn4277	0000000081733732
mkz107k54852tr1	0000000109008488
nl0218l60qjlgph	0000000081953209
pm1329m720j13zk	0000000079712406
rp354cp941k545g	0000000389140159
tr576frc3tv7fxc	000000007729137X
wt798htf1nzrcft	0000000082612916
1zcfdmzk1sbc11j	0000000114478556
20dgfn0l538zd03	0000000109904557
53hkjr3p0q91088	0000000114929396
75kmlt5r4qd7gsx	0000000109973261
86lnmv6s1tb77lh	0000000051317164
97mpnw7t0w0f8pc	0000000052960872
b8nqpx8v4c8qsv7	0000000108867846
c9prqz9w4lw087m	0000000110624392
gdsvt2f01s2442c	0000000003327237
hftwv3g119kkr8f	0000000110613976
jgvxw4h23npq1cf	0000000066291737
nl0218m63tf33bl	0000000080769418
qn243bp81gjsgg9	0000000066667458
rp354cq918bms8w	0000000079875352
tr576fsc5d3qqp3	0000000073721475
wt798hvf03bn9jt	0000000122817343
xv8b9jwg3jsnp9x	0000000047804023
1zcfdm0k02jh42j	0000000383869192
42gjhq3n31nqg34	0000000383922002
53hkjr4p5l9dv64	0000000084833886
dbqsr0cx35b2zmq	0000000053356140
jgvxw4j21hhgwn5	000000011792104X
khwzx5k317wdx59	0000000109886539
ljx0z6l43vc7r6n	0000000109920733
sq465dsb469rmj0	0000000053367931
tr576ftc4fx5xsv	0000000115781389
wt798hwf132zsk8	0000000109565444
xv8b9jxg42l70wc	0000000081872927
zw9cbkzh4k2xth5	0000000081922904
31fhgp3m4r0gzbj	0000000106774398
53hkjr5p38jm5s9	0000000051688061
86lnmv8s5tx4q4b	0000000061487036
97mpnw9t354pgq8	0000000121387011
ljx0z6m45b1cbdm	0000000054819944
qn243br85gmdvwg	0000000081215724
rp354cs93hz7dbl	0000000108153210
vs687gwd0tvtxph	000000011627555X
wt798hxf1vzbkdh	0000000108669938
0xbdcl1j0s39qnx	0000000110857815
31fhgp4m433k273	0000000110293255
53hkjr6p3s9hrfx	0000000081495412
86lnmv9s4wpxrz7	0000000066551746
97mpnwbt3qj0rt5	0000000115623970
b8nqpxcv1cd1cgf	0000000116332067
c9prqzdw1r3kc5t	0000000107775368
dbqsr0fx52357c4	0000000050618790
gdsvt2j01xpkm67	0000000051917717
jgvxw4l2493gvfp	0000000054635512
ljx0z6n41vv959x	000000008232392X
pm1329r74nf2h1l	0000000366140957
qn243bs823d7bnp	0000000110674066
rp354ct910x60xm	0000000107980871
xv8b9j0g1q3bn9t	0000000107183485
1zcfdm3k4t8xztc	0000000116843764
20dgfn4l1j3jmwq	0000000064349982
31fhgp5m1745tps	0000000080961338
64jlks8q2lr7xwb	0000000121188741
75kmlt9r03j096l	000000007974124X
c9prqzfw01ns84w	0000000078717010
jgvxw4m22fvdx2k	0000000063028386
rp354cv95sjgdcc	0000000051980759
sq465dwb406n1jg	0000000110309528
1zcfdm4k139t2xt	0000000050124125
20dgfn5l3p48l52	0000000078598234
31fhgp6m4z3q4ql	000000008376302X
53hkjr8p4dpqt7h	0000000108043804
86lnmvcs41qj3vl	0000000050043966
97mpnwdt4klbcqd	0000000083607350
c9prqzgw0xjv88j	000000007894335X
fcrts1jz4qtfggm	0000000061486164
hftwv3m1391zjq6	0000000108748871
pm1329t72bh6dsr	0000000108668548
sq465dxb55l4lkh	0000000053116171
tr576fzc3ft8cbw	0000000054820638
42gjhq8n4mn773s	0000000079849808
64jlksbq0t13t7d	0000000034180450
b8nqpxgv0s8nwlw	0000000385199065
dbqsr0jx4hpstzb	0000000051833484
gdsvt2m04twcx2m	0000000122089497
khwzx5q31pbg5z3	0000000066815713
pm1329v71r8xj4x	0000000109960559
qn243bw852xwwt3	0000000114959464
1zcfdm6k4mwq43k	0000000041519125
20dgfn7l225v1md	0000000121395337
64jlkscq3r3wxqt	0000000109332595
86lnmvfs1pklrj4	0000000066574112
c9prqzjw4v4p242	0000000109326099
dbqsr0kx1j8w6mk	0000000054632493
fcrts1lz15wsjpr	0000000108607921
gdsvt2n03hv5lv9	0000000053406136
hftwv3p15gk99wf	000000008088562X
rp354cz9550bzc3	0000000109542322
sq465d0b2xjmqls	0000000051856483
tr576f1c5npjn02	0000000052726322
53hkjrcp5258h2t	0000000072619997
64jlksdq1kvz8vr	0000000114915445
75kmltfr14rzm41	0000000109792911
97mpnwht516fswq	0000000045587360
dbqsr0lx3sd84lt	0000000051494136
nl0218w622vn5jh	0000000114669272
rp354c094nlcdcj	0000000055254105
wt798h4f296848c	0000000374077476
xv8b9j5g5qtcr0n	0000000110612893
1zcfdm8k28k10pn	000000003188644X
53hkjrdp3cl1h1n	000000008218320X
75kmltgr2vd6m1j	0000000081859423
86lnmvhs56w3r85	0000000114695518
dbqsr0mx5d6gsw8	0000000121266092
fcrts1nz3m1jpv4	0000000078513966
gdsvt2q04qwq8xc	0000000109150388
hftwv3r1471l0ph	0000000066871651
khwzx5t31zd6kkr	0000000110605386
ljx0z6v44lchbtx	0000000109700001
mkz107w54d4j3d8	0000000115721394
pm1329z71v5zwwl	000000008121828X
tr576f3c3p76t9l	0000000077344945
vs687g4d18psccs	0000000081509669
wt798h5f1skmj6x	0000000081161631
xv8b9j6g4slb1fk	0000000107844394
0xbdcl8j1fsrnf9	0000000066420682
1zcfdm9k1n1fskc	0000000121192206
20dgfnbl4zmmkpg	0000000109273070
31fhgpcm41bn634	0000000109072252
42gjhqdn1v871t3	0000000121419829
64jlksgq4d7pqt3	0000000082476520
97mpnwkt0rdhxn2	0000000111798562
fcrts1pz0wv1k9h	0000000122806011
hftwv3s11fwn6vq	0000000110068920
jgvxw4t23t09kgj	0000000109646252
mkz107x5199b7t9	0000000115826292
