hubTitle	entity
Bibeln. Psaltaren	Bibeln. · [Uppenbarelseboken.] · Swete. · 1917 · grc · eng
Didache	Didache. · ita
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Heyman · swe
Bibeln. Jesaja	Bibeln. · [Jesaja.] · moh
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1910 · swe
Koranen	Koranen. Albanska & Arabiska
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · dan
Tusen och en natt	Tusen och en natt. · lav
Batrachomyomachia	Batrachomyomachia. · rus
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Erasmus. · 1570 · Grekiska.
Bibeln	Bibeln. · Vulgata. · 1603 · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · cat
Bibeln. Nya Testamentet	Bible. · [New Testament.] · 2014. · Greek.
Nasreddin Hoca	Nasreddin Hodja. · Dari.
Bibeln. Korinthierbreven	Bibeln. · [Korinthierbreven.] · 1917. · 1926 · swe
Bibeln	Bibeln. · Luther. · 1926 · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Spanska & hebreiska
Bibeln. Markusevangeliet	Bibeln. · [Nya Testamentet.] · sai
Bibeln. Matteusevangeliet	Bibeln · [Matteusevangeliet] · Svenska (Älvdalska)
Bibeln	Bibeln. · Revised standard. · 2002 · eng
Bibeln. Paulus-breven. Urval	Bibeln. · [Paulus-breven.] · Urval. · 1917. · 1961 · swe
Tripiṭaka. Sūtrapiṭaka. Tantra. Sarvatathāgatatattvasaṅgraha	Tripiṭaka. · [Sūtrapiṭaka., Tantra., Sarvatathāgatatattvasaṅgraha.]
Physiologus	Physiologus. · Tyska & Fornetiopiska
Bibeln. Poetiska böckerna. Urval	Salomos ordspråk och predikare
Talmud. Urval	Talmud. · [Selections.] · eng
Ramayana	Rāmāyana. · hin
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Psalm 41.] · eng
Petrusevangeliet	Petrusevangeliet. Grekiska & svenska
Bibeln. Uppenbarelseboken	Bibeln. · [Uppenbarelseboken.] · Fornkyrkoslaviska & Grekiska
Koranen. Urval	Koranen. · [Sura 12.] · lat · ara
Bibeln. Nya Testamentet. Urval	Bibeln. · [Nya Testamentet.] · Urval. · 1563 · hrv
Bibeln	Bibeln. · Horch-Scheffer. · 1712 · ger
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1625 · ger
Pancatantra	Pañchatantra
Koranen	Koranen. Svenska & Arabiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1945 · lav
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1853 · lit
Bibeln. Uppenbarelseboken	Bible. · [N.T., John.] · 1924. · cop
Bibeln	Bibeln · 1543 · lat
Bibeln. Festrullarna (Megillot)	Bibeln. · [Festrullarna (Megillot).] · 1540 · heb
Bibeln. Lukasevangeliet. Urval	Bibeln. · [Lukasevangeliet., IX-XIX.] · swe
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1921. · 1958 · swe
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Sternhold.] · Selections. · eng
Bibeln	Bibeln · 1630 · lat
Midrash rabba. Klagovisorna	Midrash rabba. · [Klagovisorna. Tyska]
Bibeln. Petrusbrevet 1	Bible. · [N.T. Peter, 1st.] · Elliott. · eng
Kalīlah wa-Dimnah	Kalīla wa-Dimna. Grekiska
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1959 · arc
Bibeln	Bibeln. · Authorized. · 1657. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1716 · ger
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1854 · swe
Reineke Fuchs	Rävsagan
Milindapanha	Milinda-pañhā · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · rum
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1914 · swe
Tusen och en natt	Tusen och en natt (Darkness Publishing)
Reynard the Fox	Reynard the Fox. · 1969
Veda. Rigveda	Rigveda. · [1-4. Maṇḍala.] · rus
Bibeln	Bibeln. · 1703. · 1819 Rumstedt. · swe
Bibeln. Samuelsboken 2. Urval	Bibeln. · [Samuelsboken 2.] · Urval. · 1836 · swe
Bibeln. Nya Testamentet	Bible. · [N.T.] · 1675. · Greek.
Bibeln. Samuelsböckerna	Bibeln. · [Samuelsböckerna.] · ady
Yugapurāṇa	Purāṇa. · [Yuga-Purāṇa.] · Engelska & Sanskrit
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1527 · cze
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · 1599 · Polyglott.
Purana. Agnipurāṇa	Purāṇa. · [Agnipurāṇam]
Bibeln	Bibeln. · 1857 · swe
De tolv patriarkernas testamenten	De tolv patriarkernas testamenten. · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1735 · Grekiska
Hervarar saga og Heiðreks	Hervarar saga og Heiðreks. · 1847
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1. Susu]
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet. Franska]
Visio Tnugdali	Visio Tnugdali. · dut
Purana. Bhagavatapurana	Puranas. · [Bhāgavatapurāṇa., Uddhavagītā.] · eng
Skånelagen	Skånelagen. · dan
Bibeln	Bibeln. · Authorized. · 1679. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Today's English · eng
Koranen. Urval	Koranen. · [Sura 2. Latin]
Bibeln. Nya Testamentet	Bibeln. · [Markusevangeliet.] · tut
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Sternhold-Hopkins. · 1647 · eng
Kalevala	Kalevala.. · 9mk
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1580. · lat
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet. Engelska]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1923 · swe
Ramayana	Rāmāyana. · [5.] · ger
Bibeln	Bibeln · 1703 · swe
Bibeln. Psaltaren	Bibeln. · [Psaltaren. Polska] · 1594.
Bibeln	Bibeln. · Tyndale-Taverner. · eng
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Rengstorf. · 1949 · ger
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · Ungerska & Latin
Bibeln. Job	Bibeln. · [Job. Svenska & Tyska]
Bibeln. Apokryferna	Bible. · [Apocrypha.] · fre
Bibeln	Bibeln. · Tyndale. · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · arc
Koranen	Koranen. Serbokroatiska
Pancatantra	Pañcatantra. Tyska
Tusen och en natt	Tusen och en natt. · bul
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · Zorell. · 1939 · lat
Bibeln. Gamla Testamentet	Bibleln. · [G.T.] · 1856 · per
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1919 · swe
Ivan Løveridder	Ivan Løveridder
Talmud. Urval	Talmud. · Urval
Bibeln	Bibeln. · 164-? · fre
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1652. · Greek.
Bundahishn	Būndahishn
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · Grekiska.
Bibeln. Apokryferna. Urval	Bibeln · [Apokryferna] · [Urval] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Luther. · 1725 · ger
Sifre	Sifre. · [Moseboken 4]
Tusen och en natt	Tusen och en natt. · Engelska & kinesiska
Biblia pauperum	Biblia pauperum. · Svenska & Latin
Bibeln. De katolska breven	Bibeln. · [De katolska breven.] · 1917. · 1971 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Nisbet. · 1901 · Skotsk-gaeliska.
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1838 · ger
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Urval · heb · yid · arc
Igorkvädet	Slovo o polku Igoreve. · pol
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1910 · swe
Bibeln. Skrifterna (Ketuvim)	Bible. · [O.T., Hagiographa., G. B.] · lat
þórðar saga hreðu	Þórðar saga hreðu. · 1848 · Danska & fornisländska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1849 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Kirgisiska
Bibeln. Evangelierna	Bibeln. · [Gamla Testamentet.] · 1987 · heb · eng
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1741 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Erasmus. · 1516 · lat
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Kairokodex. · 1971 · heb
Bibeln. Ester	Bibeln. · [Ester.] · 1960 · heb
Bibeln. Timotheosbrevet 1	Bible. · [N.T., 1 Timothy., Authorised.] · eng
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Hare.] · eng
Örvar-Odds saga	Örvar-Odds saga. · 1888
Catonis disticha	Catonis Disticha. · Franska (Fornfranska) & Latin
Purana. Devībhāgavatapurāṇa	Purāṇa. · [Devībhāgavatapurāṇa. Engelska]
Haggada	Haggada · fre · heb
Bibeln. Evangelierna. Urval	Bible. · [N.T., Gospels.] · Selections. · 1682. · eng
Gilgamesh	Gilgamesh. Engelska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1658 · fre
Bibeln. Job	Bibeln. · [Job.] · 1851 · heb
Koranen	Koranen. Kirgisiska
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1619 · swe
Bibeln	Bibeln · per
Bibeln	Bible. · [Williams.] · wel
Sept sages de Rome	Seven sages of Rome. · 1794. · eng
Mishna. Arakhin	Mishna · [Arakhin] · Hebreiska & Latin
Tipitaka. Suttapiṭaka. Khuddakanikāya. Dhammapada	Dhammapada. Svenska
Lucidář	Lucidarius. · cze
Perceforest. Urval	Perceforest. · Urval. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · New Revised Standard. · 2011. · eng
Bibeln. Josua	Bibeln. · [Josua.] · arc
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1830 · swe
Bibeln. Job	Bible. · [O.T., Job., Duport.] · Greek.
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Coverdale. · 1549. · eng
Bibeln	Bibeln. · 1986 · Polyglott.
Kebra nagast	Kebra nagast. · swe
Bibeln	Bibeln. · 1822 · ara
Pancatantra	Pañcatantra. · rus
Paulusapokalypsen	Paulusapokalypsen. · Koptiska & Franska
Tusen och en natt	Tusen och en natt. Franska
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · ara
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · 1946 · lit
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1708 · pol
Bibeln. Hosea	Bibeln. · [Hosea.] · Tingstadius. · 1798 · swe
Bibeln. Job	Bibeln. · [Job.] · Wultz. · 1917 · ger
Bibeln. Nya Testamentet	Bible. · [N.T., Beza.] · lat
Bibeln	Bibeln. · 1703. · 1836 Rumstedt. · swe
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven.] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Bassa
Bibeln	Bibeln. · Authorized. · 1636. · eng
Bibeln. Nya Testamentet	Bible. · [N.T.] · Scio de San Miguel. · 1847. · spa
Beowulf	Beowulf. Danska
Bibeln	Bibeln. · 1847 · Polyglott.
Evangelisk-kristelig Psalmebog til Brug ved Kirke- og Huus-Andagt	Evangelisk-kristelig Psalmebog, til Brug ved Kirke- och Huus-Andagt
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · hat
Shujing	Shujing. · dan
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Newcome. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1885 · swe
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · Revised standard · eng
Bibeln	Bibeln. · Kyrkoslaviska & Rumänska
Bibeln. Nya Testamentet	Bible. · [N.T., Geneva - Tomson.] · eng
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Syriska]
Bibeln. Urval	Bible. · [Verse.] · Abridgments. · eng
Króka-Refs saga	Króka-Refs saga. · 1883
Bibeln. Jesaja. Urval	Bibeln. · [Jesaja., 52-53.] · Bergquist · swe
Koranen	Koranen. Grekiska
Bibeln. Jesus Syraks vishet	Bibeln. · [Jesu Syraks bok.] · 1580. · ice
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · heb
Bibeln	Bibeln. Tyska
Edda Sæmundar	Edda Sæmundar. · swe
Bibeln. Gamla Testamentet	Bibeln. · [Nya Testamentet.] · 1775 · grc
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1980 · swe
Ramayana	Rāmāyaṇa · valmiki
Veda. Atharvaveda	Veda. · [Atharvaveda (Paippalādasaṃhitā)]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1891 · swe
Bhagavadgītā	Bhagavadgītā. · Deutsch. · 1968 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet]
Midrash rabba. Moseboken 4	Midrash rabba. · [Moseboken 4. Tyska]
Bibeln. Evangelierna	Bibeln. · [Gamla Testamentet.] · 1906 · grc
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Avariska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1602 · lat
Nibelungenlied	Nibelungenlied. · dan
Nibelungenlied	Nibelungenlied.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1966 · amh
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna. Koptiska & Tyska]
Bibeln	Bibeln. · 1955 · chi
Bibeln. Moseböckerna	Bible. · [O.T., Pentateuch.] · Tyndale. · 1551. · eng
Den svenska psalmboken	Den svenska psalmboken · 1986 · sme
Tripiṭaka. Sūtrapiṭaka. Lalitavistara	Tripitaka. · [Sūtrapitaka., Lalitavistara.]
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Eskimå-språk.
Bibeln. Moseboken 3	Bible. · [O.T., Leviticus.]
Bibeln. Predikaren	Bibeln. · [Predikaren.] · Renan. · 1882 · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1822 Rumstedt. · swe
Talmud Yerushalmi. Zeraʻim	Talmud Yerushalmi. · [Zera'im]
Tomasevangeliet	Tomasevangeliet. · cop
Bibeln. Historiska böckerna	Bibeln. · [Historiska böckerna.] · Tingstadius. · 1795 · swe
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · 1931 · ara
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1631 · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Eggon
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1815 · glv
Bibeln. Jesus Syraks vishet	Bibeln. · [Apokryferna, Syrak.] · Fornisländska & Tyska (Lågtyska)
Purana. Mārkaṇḍeyapurāṇa. Devīmāhātmya	Purāṇa. · [Mārkaṇḍeyapurāṇa., Devīmāhātmya. Engelska & Sanskrit]
Bibeln	Bibeln. · Luther. · 1909 · ger
Kalīlah wa-Dimnah	Kalīla wa-Dimna. Franska
Bibeln. Krönikeböckerna	Bibeln. · [Krönikeböckerna.] · 1574 · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1847 · swe
Bhagavadgītā. Urval	Bhagavadgītā. · Urval. · Runeberg. · 1969 · swe
Bibeln	Bibeln. · Authorized. · 1647 · eng
Bibeln	Bibeln. · Luther. · 1986 · ger
Egils saga Skallagrímssonar	Egils saga Skallagrímssonar. · nno
Njáls saga	Njáls saga. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1666 · fre
Jaina Āgama. Aṅga. Vyākhyāprajñapti	Jaina Āgama. · [Aṅga., Bhagavaī.] · Engelska & prakrit
Bibeln. Psaltaren	Bibeln. · [Psaltaren] · Hebreisk skrift. · 1803 · Hebreiska & Tyska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1739 Kallmeyer. · swe
Johannesakterna	Johannesakterna. · fre
Milindapanha	Milinda-pañhā. · eng
Bibeln. Jesus Syraks vishet	Bibeln. · [Apokryferna., Syrak. Grekiska]
Bibeln. Apokryferna	Bible. · [Apocrypha., Song of the Three Children.] · eng
Purana. Viṣṇudharmottarapurāṇa	Purana. · [Viṣṇudharmottarapurāṇa., Citrasūtra.] · Engelska & Sanskrit.
Bibeln	Bibeln. · Living Bible-New Living Translation. · 2009 · swe
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · chu
Ruodlieb	Ruodlieb. Engelska & Latin
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · ger
Bibeln. Matteusevangeliet	Bible. · [N.T.] · Selections. · lat
Talmud. Bava batra	Talmud. · [Bava Batra]
Bibeln	Bibeln. · Luther. · 1569 · ger
Gísla saga Súrssonar	Gísla saga Súrssonar. · 1929
Tusen och en natt	Tusen och en natt · cat
Bibeln. Psaltaren	Bibeln · [Psaltaren] · 1730
Speculum humanae salvationis	Speculum humanae salvationis
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible. · 1989 · eng
Bibeln	Bibeln. · 1703. · 1709 Keyser. · swe
Bibeln	Bibeln. · Authorized. · 1645. · eng
Bibeln. Job	Bibeln. · [Job.] · Hitzig. · 1874 · ger
Bibeln	Bibeln. · 1690 · Nederlänska.
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1574 · lat
Talmud. Urval	Talmud. · Urval. · 1881
Domesday book	Domesday book
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1967 · swe
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet] · pol
Bibeln. Johannesbreven	Bibeln. · [Johannesbreven.] · Grekiska & Franska
Nasreddin Hoca	Nasreddin Hodja. Kurdiska
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet. Soso]
Bibeln. Ester	Bibeln. · [Ester.] · 1895 · Hebreiska & Tyska.
Bibeln	Bibeln. · 1703. · 1810 Lindh. · swe
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval · Wycliffe. · enm
Koranen	Koranen · per
Ramayana	Rāmāyana. · lao · eng
Pèlerinage de Charlemagne	Pèlerinage de Charlemagne
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1609 · Grekiska.
Mishna. Middot	Mishna. · [Middot.] · Arabiska & hebreiska
Bibeln. Urval	Bibeln. · [Authorised.] · Urval. · eng
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Gagauziska
Bibeln. Predikaren	Bible. · [O.T., Ecclesiates.] · 1534. · eng
Historia Karoli Magni et Rotholandi	Historia Karoli Magni et Rotholandi. · Provensalska & Latin
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1926 · swe
Bibeln	Bibeln. Samoanska
Bibeln	Bibeln. · [Authorized.] · 1616. · eng
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1770 · ara
Talmud. Keritot	Talmud. · [Karetot]
Bibeln. Höga visan	Bibeln. · [Höga visan.] · Heyman. · swe
Bibeln. Festrullarna (Megillot)	Bibeln. · [Festrullarna (Megillot).] · Biblia Hebraica Quinta. · 2004 · heb
Bibeln. Nya Testamentet	Bibeln. · [Evangelierna.] · arm
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1714 · Hebreiska & Latin.
Bibeln. Samuelsböckerna	Bibeln. · [Samuelsböckerna.] · 1750. · fre
Bibeln. Gamla Testamentet. Urval	Bible. · [O.T.] · Selections. · Geneva. · 1614. · eng
Bibeln	Bibeln · luo
Tipitaka. Suttapiṭaka. Khuddakanikāya. Paṭisambhidāmagga	Paṭisambhidāmagga
Hervarar saga og Heiðreks	Hervarar saga og Heiðreks. · Latin & Isländska
Hrólfs saga Gautrekssonar	Hrólfs saga Gautrekssonar. · eng
Bibeln. Nya Testamentet	Raamattu. · [UT]
Bibeln. Amos	Bibeln. · [Amos.] · 1923 · heb
Pancatantra	Pañchatantra.
Purana. Śivapurāṇa	Purāṇa. · [Śivapurāṇa]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1992 · rus
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Engelska & hebreiska
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · tgk
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · bak
Bibeln. Lukasevangeliet	Bibeln. · [Nya Testamentet.] · 1979 · fin · eng · swe
Tipitaka	Tipitaka. · [Kokuyaku issaikyo]
Bibeln	Bibeln. · Authorized. · 1888 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1596 · ita
Karl Magnus´ krønike	Karl Magnus' krønike
Bibeln. Amos	Bibeln. · [Amos.] · 1942 · heb
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · tam
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Hebreiska & Spanjolska
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · Weiser. · 1935 · ger
Bibeln	Biblia · lat
Kristofers landslag	Kristoffers landslag
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1720 · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1541. · 1605 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Mukuni
Flateyjarbók	Flateyjarbók. · nor
Bhagavadgītā	Bhagavadgītā. · Arnold. · 1917 · eng
Jaina Āgama. Aṅga. Ācārāṅga	Jaina Āgama. · [Aṅga., Ācārāṅga.] · Engelska & prakrit.
Bibeln. Josua	Bibeln. · [Josua] · eng
Avesta. Khordah Avesta	Avesta. · [Khordah Avesta.]
Mahābhārata. Bhīṣmaparva	Mahābhārata. · [Bhīṣmaparva. Engelska & Kawi]
Bibeln. Mackabeerboken 2	Mackabeerboken 2
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Grekiska
Beowulf	Beowulf. Tyska & Engelska (Fornengelska)
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · 1981 · swe
Bibeln. Nya Testamentet. Urval	Bible. · [N.T.] · Selections. · Syriac and Latin.
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1965 · Judearabiska & hebreiska.
Talmud. Urval	Talmud. · Urval. · ger
Bibeln	Bibeln. · Authorized. · 1881 · eng
Bibeln. Nya Testamentet	Bibeln. · [Lukasevangeliet.] · mdf
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · 1898 · uig
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Provövers. · 1903 · swe
Tipitaka. Suttapiṭaka. Khuddakanikāya. Therīgāthā	Tipiṭaka. · [Suttapiṭaka., Khuddakanikāya., Therīgāthā.] · eng
Bibeln	Bibeln · 1545 · lat
Adi Granth	Ādi-Granth. · eng
Bibeln	Bibeln. · 1703. · 1812 Rumstedt 1. · swe
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · krl
Bibeln	Bibeln. · Vulgata. · 1849 · lat
Yngvars saga viðförla	Yngvars saga víðförla. · 1912
Tripiṭaka. Sūtrapiṭaka. Saṃdhinirmocanasūtra	Tripiṭaka. · [Sūtrapiṭaka., Samdhinirmocanasūtra.] · fre
Bibeln	Bibeln. · 1903 · chi
Bibeln	Bibeln. · Luther. · 1617 · ger
Kalīlah wa-Dimnah. Urval	Kalila wa-Dimna. · [Urval.] · arm
Egils saga einhenda og Ásmundar berserkjabana	Egils saga einhenda ok Ásmundar berserkjabana. · ita
Talmud. Nezikin. Urval	Talmud. · [Nezikin.] · Urval
Dödsboken	Book of the dead. · English & Egyptian.
Bibeln	Bibeln. · Version synodale. · 1945 · fre
Dödahavsrullarna	Genesis Apocryphon. · Engelska & arameiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1868 · swe
Mishna	Mishna (Sifriyat Eliner : 1994). · eng
Baladro del sabio Merlín	Baladro del sabio Merlín
Bibeln. Psaltaren	Psaltaren
