auth/128699	Socialdepartementet
bib/2631356	American Dairy Science Association (110, 710)
bib/11295799	International Grassland Congress ( 111, 504, 710, 711, 776)
bib/17110366	Bibeln, Nya Testamentet (130)

bib/7279285	Maskinhandboken (titelbiuppslag med angivna roller (trl, adp))

hold/15726821	
hold/15958795	
hold/18472436	
hold/22266746	
hold/23452070	
hold/32752629	
hold/718795	
hold/718796	
hold/718797	
hold/718798	
hold/718800	
hold/718801	
hold/718802	
hold/718803	
hold/718804	
hold/718805	
hold/718806	
hold/718807	
hold/718809	
hold/718810	
hold/718811	
hold/718812	
hold/718813	
hold/718814	
hold/718815	
hold/718817	
hold/718818	
hold/718819	
hold/26746600	(http://libris.kb.se/bib/11798968?tab3=marc&vw=full) – monografiskt bestånd med enbart sigel
hold/39698169	(http://libris.kb.se/bib/16583077?tab3=marc&vw=full) – monografiskt videobestånd med enkelt hyllsignum (852h)
hold/37789933	(http://libris.kb.se/bib/14854711?tab3=marc&vw=full) – monografiskt bestånd med flerledat hyllsignum (852h+j), intern beståndsanmärkning, teknisk anmärkning (NB-kodning som används för uttag av NB-produkter) m.m.
hold/29592875	(http://libris.kb.se/bib/12191039?tab3=marc&vw=full) – monografiskt bestånd ursrpungligen maskinellt genererat från medieleverantör Dawson (Förvärvsrutinen), här med lokalt definierat fält 948  (finns flera sådana lokalt definierade beståndsfält, se http://www.kb.se/katalogisering/Formathandboken/Bestand/9XX/
hold/6080741	(http://libris.kb.se/bib/335431?tab3=marc&vw=full) – monografiskt bestånd till konverterad del i flerbandsverk (där 852 med ”$8 \c” avser delen och det det andra 852 avser huvudpost
hold/28174569	(http://libris.kb.se/bib/2944641?tab3=marc&vw=full) – monografiskt äldretryck med exemplarinfo för flera exemplar
hold/26221124	(http://libris.kb.se/bib/2413961?tab3=marc&vw=full) – monografiskt äldretryck med personbiuppslag på tidigare ägare
hold/37769794	(http://libris.kb.se/bib/14805941?tab3=marc&vw=full) – eboksbestånd med maskinellt genererat proveniensflaggade beståndsfält (Atingo), samma modell kommer att implementeras även för e-böcer från Elib
hold/37985194	((http://libris.kb.se/bib/14805941?tab3=marc&vw=full) – samma som ovan, men här maskinellt kompletterad med deleteflagga för att lokala systemleverantörer ska kunna hantera tillgång
hold/40508888	(http://libris.kb.se/bib/1858131?tab3=marc&vw=full) – tidskrift med enkelt hyllsignum (852h) + beståndsinfo (866)
hold/14225535	(http://libris.kb.se/bib/8261414?tab3=marc&vw=full) – tidskrift med konverterat bestånd: biblänk (014) + flera exemplar i fkera sammanlänkade ($8) 852 + bestånd (866)
hold/33359920	(http://libris.kb.se/bib/568184?tab3=marc&vw=full) – tidskrift med årgångsindelat bestånd i upprepade 863 (kan ev. användas för att i framtiden generera separata bibliografiska tidskriftsårgångsposter, önsekmål från ffa folkbibliotek)
hold/30966941	(http://libris.kb.se/bib/10380624?tab3=marc&vw=full) – e-tidskrift med maskinellt genererat länkserverbestånd (inkl. åtkomstlänkar) till flera olika leverantörer/plattformar
hold/24217080	(http://libris.kb.se/bib/7274677?tab3=marc&vw=full) – monografiskt bestånd med produktkod (leader/07) av betydelse för uttag av statistik/nyförvärvslista
hold/11664024	sigel S för bib/3313799 (3 st 852 med $3 för olika sviter/delar)
hold/12169519	sigel S för bib/3678902 (2 st -||-)
