	Libris	Titel	Fil namn	Äldre länk	
	http://libris.kb.se/bib/10647096	Ansvar för samverkan - helhetsperspektiv på samhällets stöd till barn och unga med funktionshinder	2005-131-24_200513125.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10165/2005-131-24_200513125.pdf	
	http://libris.kb.se/bib/10058645	Ansvar för samverkan - helhetsperspektiv på samhällets stöd till barn och unga med funktionshinder :	2005-131-24_200513125.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10165/2005-131-24_200513125.pdf	
	http://libris.kb.se/bib/22543762	Ansvar och roller enligt det internationella hälsoreglementet (IHR) - Meddelandeblad	2013-7-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19170/2013-7-2.pdf	
	http://libris.kb.se/bib/20909039	Ansvaret för personer med demenssjukdom och bemanning i särskilda boenden	rattssakerhet-ansvaret-for-personer-med-demenssjukdom-och-bemanning-i-sarskilda-boenden-umea.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/rattssakerhet-ansvaret-for-personer-med-demenssjukdom-och-bemanning-i-sarskilda-boenden-umea.pdf	
	http://libris.kb.se/bib/17869544	Ansökan kurs i samhälls- och författningskunskap	Ansokan-kurs-samhalls-forfattningskunskap.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/Ansokan-kurs-samhalls-forfattningskunskap.pdf	
	http://libris.kb.se/bib/22534551	Ansökan om förlängning av prövolicens BBIC	AnsokanomfoÂ·rlaÂ·ngningavprovolicens-BBICMaj2013.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/Ansokanomförlängningavprovolicens-BBICMaj2013.pdf	
	http://libris.kb.se/bib/22173066	Ansökan om ordinarie licens BBIC	bbic-anokan-ordinarielicens-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/bbic-anokan-ordinarielicens-2014.pdf	
	http://libris.kb.se/bib/22173076	Ansökan om ordinarie licens BBIC	nr-nyhetsbrev-20140319.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-nyhetsbrev-20140319.pdf	
	http://libris.kb.se/bib/22179246	Ansökan om prövning av utländsk yrkesutbildning inom hälso- och sjukvård som grund för behörighet	ansokaomlegitimation-annatland-steg1-blankett-45986-2014-04-23.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ansokaomlegitimation-annatland-steg1-blankett-45986-2014-04-23.pdf	
	http://libris.kb.se/bib/22546318	Ansökan om statsbidrag till pensionärsorganisationer 2014	pensionarsorganisationer-ansokan-2014-informationsbrev.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/pensionarsorganisationer-ansokan-2014-informationsbrev.pdf	
	http://libris.kb.se/bib/20901857	Antibiotikaresistens och vårdrelaterade infektioner - årsrapport 2013, för samverkansuppdrag	2013-11-26.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19263/2013-11-26.pdf	
	http://libris.kb.se/bib/19446714	Anvisningar ansökan om statsbidrag för 2016 till kommuner och landsting för att öka kunskapen om hbtpersoners situation	Anvisningar-ansokan-statsbidrag-hbt-kommun-landsting-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/Anvisningar-ansokan-statsbidrag-hbt-kommun-landsting-2016.pdf	
	http://libris.kb.se/bib/18389613	Anvisningar för ansökan om statsbidrag för viss verksamhet på funktionshindersområdet	anvisningar-ansokan-statsbidrag-viss-verksamhet-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-ansokan-statsbidrag-viss-verksamhet-2016.pdf	
	http://libris.kb.se/bib/18225379	Anvisningar för ansökan om statsbidrag till nationella professionsorganisationer för att stödja implementeringen av nationella riktlinjer för sjukdomsförebyggande metoder 2015	anvisningar-statsbidrag-implementering-nr-2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-statsbidrag-implementering-nr-2015.pdf	
	http://libris.kb.se/bib/18225373	Anvisningar för ansökan om statsbidrag till organisationer för professionen och patienterna för bättre vård vid kroniska sjukdomar 2015	anvisningar-statsbidrag-battre-vard-vid-kroniska-sjukdomar-2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-statsbidrag-battre-vard-vid-kroniska-sjukdomar-2015.pdf	
	http://libris.kb.se/bib/18389608	Anvisningar för ansökan om statsbidrag till vissa organisationer inom det sociala området m.m.	anvisningar-ansokan-statsbidrag-sociala-organisationer-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-ansokan-statsbidrag-sociala-organisationer-2016.pdf	
	http://libris.kb.se/bib/21656786	Anvisningar för blanketten Ansökan om statsbidrag för 2015 till vissa juridiska personer som tillhandahåller meningsfull sysselsättning	anvisningar-statsbidrag-sysselsattning-juridiska-personer-2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-statsbidrag-sysselsattning-juridiska-personer-2015.pdf	
	http://libris.kb.se/bib/18389610	Anvisningar för blanketten Ansökan om statsbidrag för 2016 till vissa juridiska personer som tillhandahåller meningsfull sysselsättning	anvisning-ansoÂ·kan-statsbidrag-sysselsattning-juridiska-personer-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisning-ansökan-statsbidrag-sysselsattning-juridiska-personer-2016.pdf	
	http://libris.kb.se/bib/21656784	Anvisningar för blanketten Ansökan om statsbidrag för år 2015 till organisationer som stödjer dem som vårdar och hjälper någon närstående	anvisningar-statsbidrag-anhorigorganisationer-2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-statsbidrag-anhorigorganisationer-2015.pdf	
	http://libris.kb.se/bib/22247044	Anvisningar för kodning av infekterade sår	2013-8-11.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19180/2013-8-11.pdf	
	http://libris.kb.se/bib/19771317	Anvisningar för kodning av infekterade sår	2016-9-40.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20355/2016-9-40.pdf	
	http://libris.kb.se/bib/19771314	Anvisningar för kodning av sepsis, svår sepsis och septisk chock	2016-9-38.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20352/2016-9-38.pdf	
	http://libris.kb.se/bib/22543012	Anvisningar om inventering och redovisning av Omvårdnadslyftet 2013	omvardnadslyftet-anvisningar-for-redovisning-2013.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/omvardnadslyftet-anvisningar-for-redovisning-2013.pdf	
	http://libris.kb.se/bib/21656887	Anvisningar om redovisning av Omvårdnadslyftet 2014	anvisningar-redovisning-av-omvardnadslyftet-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anvisningar-redovisning-av-omvardnadslyftet-2014.pdf	
	http://libris.kb.se/bib/21083026	Anvisningar vid kodning av HIV-infektion	2014-5-8.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19179/2014-5-8.pdf	
	http://libris.kb.se/bib/11358176	Användning av bedömningsinstrument i missbruksvården	2008-112-2_20081122.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8645/2008-112-2_20081122.pdf	
	http://libris.kb.se/bib/22543746	Användningen av statsbidraget till vissa organisationer inom det sociala området år 2012	2013-9-19.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19204/2013-9-19.pdf	
	http://libris.kb.se/bib/18438128	Användningen av statsbidraget till vissa organisationer inom det sociala området år 2012.	2013-9-19.pdf	https://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19204/2013-9-19.pdf	
	http://libris.kb.se/bib/22173086	Appendix till Hepatit B-vaccination - kunskapsunderlag från experter	Bilaga-appendix-till-hepatit-B-vaccination.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/Bilaga-appendix-till-hepatit-B-vaccination.pdf	
	http://libris.kb.se/bib/22547176	Arbetsdokument Nationella riktlinjer	2011-12-21.pdf	http://www.socialstyrelsen.se/publikationer2011/2011-12-21.pdf	
	http://libris.kb.se/bib/22547180	Arbetsdokument Nationella riktlinjer	2011-12-21.pdf	http://www.socialstyrelsen.se/publikationer2011/2011-12-21.pdf	
	http://libris.kb.se/bib/22547183	Arbetsdokument Nationella riktlinjer	2011-12-21.pdf	http://www.socialstyrelsen.se/publikationer2011/2011-12-21.pdf	
	http://libris.kb.se/bib/22547185	Arbetsdokument Nationella riktlinjer	2011-12-21.pdf	http://www.socialstyrelsen.se/publikationer2011/2011-12-21.pdf	
	http://libris.kb.se/bib/22547176	Arbetsdokument Nationella riktlinjer	nr-hjartastroke-arbetsdokument-c127a.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartastroke-arbetsdokument-c127a.pdf	
	http://libris.kb.se/bib/22547183	Arbetsdokument Nationella riktlinjer	nr-hjartastroke-arbetsdokument-c17a.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartastroke-arbetsdokument-c17a.pdf	
	http://libris.kb.se/bib/22547185	Arbetsdokument Nationella riktlinjer	nr-hjartastroke-arbetsdokument-c18a.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartastroke-arbetsdokument-c18a.pdf	
	http://libris.kb.se/bib/22547180	Arbetsdokument Nationella riktlinjer	nr-hjartastroke-arbetsdokumet-a30a.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartastroke-arbetsdokumet-a30a.pdf	
	http://libris.kb.se/bib/20908971	Arbetsdokument till uppdatering Stroke 2013 - preliminär version	2009-11-4.pdf	http://www.socialstyrelsen.se/publikationer2009/2009-11-4.pdf	
	http://libris.kb.se/bib/20908971	Arbetsdokument till uppdatering Stroke 2013 - preliminär version	nr-stroke-arbetsdokument-2013-preliminar.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-stroke-arbetsdokument-2013-preliminar.pdf	
	http://libris.kb.se/bib/21656896	Arbetsdokument: Nationella riktlinjer för stroke	nr-stroke-arbetsdokument-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-stroke-arbetsdokument-2014.pdf	
	http://libris.kb.se/bib/11358183	Arytmier	2008-102-5_20081025_rev1.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8590/2008-102-5_20081025_rev1.pdf	
	http://libris.kb.se/bib/20908512	Arytmier - vetenskapligt underlag för Nationella riktlinjer för hjärtsjukvård 2008	nr-hjartsjukvard-2008-vetenskapligtunderlag-arytmier.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartsjukvard-2008-vetenskapligtunderlag-arytmier.pdf	
	http://libris.kb.se/bib/10176332	ASI	2003-112-2_20031123.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10654/2003-112-2_20031123.pdf	
	http://libris.kb.se/bib/21215698	ASI Återkoppling	ASI-Manualen-aterkoppling-ifyllbar.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ASI-Manualen-aterkoppling-ifyllbar.pdf	
	http://libris.kb.se/bib/21215665	ASI Återkoppling	ASI-Manualen-aterkoppling-manuellt-ifyllbar.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ASI-Manualen-aterkoppling-manuellt-ifyllbar.pdf	
	http://libris.kb.se/bib/21150588	ASI-manualen Anvisningar till ASI Grund och ASI Uppföljning	2014-1-1.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19280/2014-1-1.pdf	
	http://libris.kb.se/bib/10674134	Assisterad befruktning 2005	2008-42-3.pdf	http://www.socialstyrelsen.se/publikationer2008/2008-42-3.pdf	
	http://libris.kb.se/bib/10646039	Att anpassa studiesituationen för vuxenstuderande med funktionshinder	2007-131-36_200713136.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9291/2007-131-36_200713136.pdf	
	http://libris.kb.se/bib/7621827	Att bedöma en social situation :	1999-9-3.pdf	http://www.socialstyrelsen.se/publikationer1999/1999-9-3.pdf	
	http://libris.kb.se/bib/10648085	Att beskriva levnadsförhållanden	2004-118-5_20041185.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10374/2004-118-5_20041185.pdf	
	http://libris.kb.se/bib/10331465	Att bli förälder till ett barn som redan finns	200611436.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/979BBB6C-1DC6-4C9F-B0D2-825C1882F943/6740/200611436.pdf	
	http://libris.kb.se/bib/10646045	Att bli förälder till ett barn som redan finns.	2007-114-62_200711462.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9096/2007-114-62_200711462.pdf	
	http://libris.kb.se/bib/10505040	Att bli förälder till ett barn som redan finns.	200711462_rev.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/63152FF5-5C41-4693-B8D1-076E8985799C/11642/200711462_rev.pdf	
	http://libris.kb.se/bib/9832676	Att fastställa faderskap	20051011.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/C0403C8C-DC86-496F-8732-6834B372B989/3110/20051011.pdf	
	http://libris.kb.se/bib/10647103	Att fastställa faderskap	2005-101-1_20051011.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9860/2005-101-1_20051011.pdf	
	http://libris.kb.se/bib/11767212	Att förebygga HIV och STI bland ungdomar och vuxna	attforebyggahivochstiblandungdomarochungavuxna.pdf	http://www.socialstyrelsen.se/publikationer2009/attforebyggahivochstiblandungdomarochungavuxna.pdf	
	http://libris.kb.se/bib/19098624	Att förebygga och minska utmanande beteende i LSS-verksamhet :	default.aspx?q=2015-12-3&defqe.pdf	http://www.socialstyrelsen.se/publikationer/Sidor/default.aspx?q=2015-12-3&defqe.pdf	
	http://libris.kb.se/bib/19796545	Att förhindra smittspridning vid hantering av hjälpmedel	2016-4-48.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20170/2016-4-48.pdf	
	http://libris.kb.se/bib/14228078	Att ge ordet och lämna plats :	publikationer.pdf	http://www.socialstyrelsen.se/publikationer.pdf	
	http://libris.kb.se/bib/13535155	Att göra effektutvärderingar /	att-gora-effektutvarderingar.pdf	http://www.socialstyrelsen.se/evidensbaseradpraktik/attarbetaevidensbaserat/Documents/att-gora-effektutvarderingar.pdf	
	http://libris.kb.se/bib/17223328	Att kvalitetsutveckla arbetet mot våld i nära relationer - Uppföljning av verksamhet bedriven med stöd av utvecklingsmedel under 2013 		Länk från Libris saknas	
	http://libris.kb.se/bib/11854408	Att leda evidensbaserad praktik	2009-126-248.pdf	http://www.socialstyrelsen.se/publikationer2009/2009-126-248.pdf	
	http://libris.kb.se/bib/12070577	Att mäta kvalitet i skolhälsovårdens/elevhälsans arbete med psykisk ohälsa	2010-12-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/18182/2010-12-2.pdf	
	http://libris.kb.se/bib/11607080	Att mäta patientsäkerhetskulturen	2009-126-12_200912612.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8341/2009-126-12_200912612.pdf	
	http://libris.kb.se/bib/8841506	Att mötas :	2002-124-19.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-124-19.pdf	
	http://libris.kb.se/bib/10646758	Att skiljas - när man har barn	2006-114-32_200611432.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9557/2006-114-32_200611432.pdf	
	http://libris.kb.se/bib/22543752	Att skiljas - när man har barn	2013-9-8.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19192/2013-9-8.pdf	
	http://libris.kb.se/bib/8432352	Att ta tillvara den enskildes tysta kunskap :	2002-110-18.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-110-18.pdf	
	http://libris.kb.se/bib/18225352	Att utveckla grunddata och indikatorer	2015-3-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19748/2015-3-2.pdf	
	http://libris.kb.se/bib/10648090	Avgifter för äldre- och handikappomsorg 2004	2004-131-22_200413122.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10482/2004-131-22_200413122.pdf	
	http://libris.kb.se/bib/9774947	Avgifter för äldre- och handikappomsorg 2004 :	200412328.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/8FBCF7DF-3B07-4D34-AD98-0D01AF590059/2373/200412328.pdf	
	http://libris.kb.se/bib/9760191	Avgifter inom äldre- och handikappomsorg :	200413122.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/188372F0-9BC2-44A1-B811-21C6445638FC/2372/200413122.pdf	
	http://libris.kb.se/bib/10648870	Avgifter inom äldre- och handikappomsorgen	2002-8.pdf	http://www.socialstyrelsen.se/sosfs/2002-8.pdf	
	http://libris.kb.se/bib/10648419	Avgiftsenkät november 2002	2003-123-12_200312312.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10717/2003-123-12_200312312.pdf	
	http://libris.kb.se/bib/10317235	Avsiktligt självdestruktiv handling i Sverige :	rev2_200612514.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/037136C5-5302-485C-B680-A48D732233B9/6722/rev2_200612514.pdf	
	http://libris.kb.se/bib/8414389	Avvikelsehantering inom hälso- och sjukvård :	2002-109-3.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-109-3.pdf	
	http://libris.kb.se/bib/19715780	Balansera mera - Tips och råd att förhindra fallolyckor i vardagen	2016-9-1.pdf	http://socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20287/2016-9-1.pdf	
	http://libris.kb.se/bib/21150542	Barn med personlig assistans - möjligheter till utveckling, självständighet och delaktighet	2014-1-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19290/2014-1-2.pdf	
	http://libris.kb.se/bib/8871813	Barn och smärta :	2002-123-43_200212343.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11117/2002-123-43_200212343.pdf	
	http://libris.kb.se/bib/10647114	Barn och unga	2005-44-8_2005448.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10220/2005-44-8_2005448.pdf	
	http://libris.kb.se/bib/18056973	Barn och unga	2014-6-10.pdf	http://www.socialstyrelsen.se/publikationer2014/2014-6-10.pdf	
	http://libris.kb.se/bib/10646058	Barn och unga	TabellerbilagaRev.xls	http://www.socialstyrelsen.se/NR/rdonlyres/1112C885-6B27-44D7-A6AC-ACC5F2ABE73D/8146/TabellerbilagaRev.xls	
	http://libris.kb.se/bib/17223319	Barn och unga - insatser år 2013		Länk från Libris saknas	
	http://libris.kb.se/bib/21635208	Barn och unga - Utreda, planera och följa upp öppen-vårdsinsatser enligt socialtjänstlagen	2014-6-10.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19461/2014-6-10.pdf	
	http://libris.kb.se/bib/14675524	Barn och unga :	2013-6-40.pdf	http://www.socialstyrelsen.se/publikationer2013/2013-6-40.pdf	
	http://libris.kb.se/bib/16930993	Barn och unga :	2014-6-10.pdf	http://www.socialstyrelsen.se/publikationer2014/2014-6-10.pdf	
	http://libris.kb.se/bib/13988203	Barn och unga i familjehem och HVB :	2013-1-1.pdf	http://www.socialstyrelsen.se/publikationer2013/2013-1-1.pdf	
	http://libris.kb.se/bib/11607082	Barn och unga som begår brott	2009-101-3_20091013.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8298/2009-101-3_20091013.pdf	
	http://libris.kb.se/bib/10648098	Barn och unga:	2004-44-9_2004449.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10534/2004-44-9_2004449.pdf	
	http://libris.kb.se/bib/12065644	Barn och ungdomar med psykisk ohälsa :	2010-11-15.pdf	http://www.socialstyrelsen.se/publikationer2010/2010-11-15.pdf	
	http://libris.kb.se/bib/11767213	Barn- och ungdomspsykiatrins metoder	2009-126-146_2009126146.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8367/2009-126-146_2009126146.pdf	
	http://libris.kb.se/bib/20901325	Barn som far illa eller riskerar att fara illa	2013-11-1.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19211/2013-11-1.pdf	
	http://libris.kb.se/bib/22543748	Barn som far illa eller riskerar att fara illa - en vägledning för hälso- och sjukvården samt tandvården gällande anmälningsskyldighet och ansvar	2013-9-3.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19187/2013-9-3.pdf	
	http://libris.kb.se/bib/10646061	Barn som har föräldrar med utvecklingsstörning	2007-131-8_20071319.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9308/2007-131-8_20071319.pdf	
	http://libris.kb.se/bib/10424168	Barn som har föräldrar med utvecklingsstörning	20071319.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/E1D10F9D-81C5-4839-9DC5-38070160FF5A/7277/20071319.pdf	
	http://libris.kb.se/bib/11607087	Barn, ungdomar och hiv	2009-126-6_20091266.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8482/2009-126-6_20091266.pdf	
	http://libris.kb.se/bib/11018671	Barnahus	2008-131-14.pdf	http://www.socialstyrelsen.se/publikationer2008/2008-131-14.pdf	
	http://libris.kb.se/bib/10646771	Barnahus	2008-131-14_200813114.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8844/2008-131-14_200813114.pdf	
	http://libris.kb.se/bib/10715609	Barnahus :	2008-131-14_200813114.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8844/2008-131-14_200813114.pdf	
	http://libris.kb.se/bib/8854071	Barnperspektiv vid handläggning av ekonomiskt bistånd.	2003-109-1.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-109-1.pdf	
	http://libris.kb.se/bib/10648422	Barnperspektiv vid handläggning av ekonomiskt bistånd.	2003-109-1.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-109-1.pdf	
	http://libris.kb.se/bib/22550895	Barns behov i centrum - Grundbok (BBIC)	2013-11-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19217/2013-11-2.pdf	
	http://libris.kb.se/bib/18739862	Barns behov i centrum - Grundbok i BBIC	2015-10-7.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19928/2015-10-7.pdf	
	http://libris.kb.se/bib/18739864	Barns behov i centrum - Metodstöd för BBIC	2015-10-8.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19929/2015-10-8.pdf	
	http://libris.kb.se/bib/11767223	Barns behov i centrum (BBIC).	2009-126-11_200912611.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8331/2009-126-11_200912611.pdf	
	http://libris.kb.se/bib/15761211	Barns behov i centrum :	2013-11-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19217/2013-11-2.pdf	
	http://libris.kb.se/bib/17933014	Barns delaktighet i utredningar om vårdnad, boende och umgänge	2014-12-40.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19653/2014-12-40.pdf	
	http://libris.kb.se/bib/18057473	Barns försörjning vid separation	2014-11-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19575/2014-11-2.pdf	
	http://libris.kb.se/bib/21656780	Barns försörjning vid separation - ett utbildningsmaterial	2014-6-6.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19457/2014-6-6.pdf	
	http://libris.kb.se/bib/17372171	Barns försörjning vid separation :	2014-11-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19575/2014-11-2.pdf	
