Libris	Titel	Fil namn	Äldre länk	Ny länk
http://libris.kb.se/bib/7621922	Näringsproblem i vård och omsorg :	2000-3-11.pdf	http://www.socialstyrelsen.se/publikationer2000/2000-3-11.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2000-3-11
http://libris.kb.se/bib/8372110	Nationellt stöd för kunskapsutveckling inom socialtjänsten.	2000-3-12.pdf	http://www.socialstyrelsen.se/publikationer2000/2000-3-12.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2000-3-12
http://libris.kb.se/bib/10650667	Dödsorsaker.	2000-42-3_0042003.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11895/2000-42-3_0042003.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2000-42-3
http://libris.kb.se/bib/10650672	Familjerätt.	2000-44-4_0044004.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11904/2000-44-4_0044004.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2000-44-4
http://libris.kb.se/bib/10650691	Insatser för barn och unga.	2000-44-9_0044009.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11909/2000-44-9_0044009.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2000-44-9
http://libris.kb.se/bib/9329447	Riktlinjer - medicinsk katastrofberedskap	2001-102-3.pdf	http://www.socialstyrelsen.se/publikationer2001/2001-102-3.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-102-3
http://libris.kb.se/bib/8372120	Brandkatastrofen i Göteborg natten 29-30 oktober 1998.	2001-123-14_200112315.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11430/2001-123-14_200112315.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-123-14
http://libris.kb.se/bib/10650520	Sexual abuse of children	2001-123-20_200112320.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11437/2001-123-20_200112320.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-123-29
http://libris.kb.se/bib/8372148	Utan fast punkt :	2001-123-52.pdf	http://www.socialstyrelsen.se/publikationer2001/2001-123-52.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-123-52
http://libris.kb.se/bib/8392752	Översvämningar i Polen 1997 och i Sverige 2000	2001-123-84_200112385.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11499/2001-123-84_200112385.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-123-84
http://libris.kb.se/bib/8549465	Assisterad befruktning 1998 =	2001-42-3.pdf	http://www.socialstyrelsen.se/publikationer2001/2001-42-3.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-42-3
http://libris.kb.se/bib/10650570	Socialbidrag under fjärde kvartalet och hela året 2000	2001441.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/3763C605-4AEE-4913-A80D-4E2F00643A84/1751/2001441.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-1
http://libris.kb.se/bib/10649118	Ekonomiskt bistånd/Socialbidrag under de tre första kvartalen och tredje kvartalet 2001	2001-44-10_20014410.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11613/2001-44-10_20014410.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-10
http://libris.kb.se/bib/10650577	Socialbidrag under första kvartalet 2001 :	2001444.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/B668F3B8-EC49-4EFE-8B2C-239DE447D772/1753/2001444.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-4
http://libris.kb.se/bib/10649126	Familjerätt.	2001-44-5_2001445.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11618/2001-44-5_2001445.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-5
http://libris.kb.se/bib/10649113	Ekonomiskt bistånd/Socialbidrag.	2001-44-7_2001447.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11620/2001-44-7_2001447.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-7
http://libris.kb.se/bib/10649090	Barn och unga	2001-44-8_2001448.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11621/2001-44-8_2001448.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-8
http://libris.kb.se/bib/10649122	Ekonomiskt bistånd/Socialbidrag under första halvåret och andra kvartalet 2001	2001-44-9_2001449.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11622/2001-44-9_2001449.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2001-44-9
http://libris.kb.se/bib/9167809	Förbättringar i mottagandet av barn från annat land som kommer till Sverige utan medföljande legal vårdnadshavare (s. k. ensamkommande barn) :	2002-107-7.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-107-7.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-107-7
http://libris.kb.se/bib/10649053	Förbättringar i mottagandet av barn från annat land som kommer till Sverige utan medföljande legal vårdnadshavare (s. k. ensamkommande barn)	2002-107-7_20021077.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10917/2002-107-7_20021077.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-107-7
http://libris.kb.se/bib/8421800	Icke verkställda beslut och domar enligt LSS och SoL	2002-109-4.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-109-4.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-109-4
http://libris.kb.se/bib/10649074	Hypothermia	2002-110-14_200211014.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10940/2002-110-14_200211014.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-110-14
http://libris.kb.se/bib/10649065	Cancer bland svensk militär och civil personal som tjänstgjort på Balkan mellan 1989 och 1999	2002-112-2_20021122.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10959/2002-112-2_20021122.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-112-2
http://libris.kb.se/bib/8845364	Kvinnlig könsstympning	2002-114-77.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-114-77.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-114-77
http://libris.kb.se/bib/8406093	Individuell plan på den enskildes villkor :	2002-123-24.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-123-24.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-123-24
http://libris.kb.se/bib/10648900	Dödsorsaker	2002-42-4_2002424.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11233/2002-42-4_2002424.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-42-4
http://libris.kb.se/bib/10648910	Ekonomiskt bistånd/Socialbidrag under fjärde kvartalet och hela 2001	2002-44-1_2002441.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11238/2002-44-1_2002441.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-44-1
http://libris.kb.se/bib/10649027	Äldre	2002443.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/C2F035EF-4998-4C05-A26A-A28CFD22F837/1188/2002443.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-44-3
http://libris.kb.se/bib/10648918	Familjerätt.	2002-44-5_2002445.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11243/2002-44-5_2002445.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-44-5
http://libris.kb.se/bib/10648881	Barn och unga	2002-44-7_2002447.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11245/2002-44-7_2002447.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-44-7
http://libris.kb.se/bib/10648913	Ekonomiskt bistånd under andra kvartalet och första halvåret 2002	2002-44-9_2002449.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11247/2002-44-9_2002449.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2002-44-9
http://libris.kb.se/bib/9539251	Vård av självmordsnära patienter :	2003-110-8.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-110-8.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-110-8
http://libris.kb.se/bib/10648853	Vård av självmordsnära patienter	2003-110-8_20031108.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10650/2003-110-8_20031108.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-110-8
http://libris.kb.se/bib/10648750	Naafaynta saxaaxa dumarka.	2003-114-8_20031149.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10667/2003-114-8_20031149.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-114-8
http://libris.kb.se/bib/10648849	Utmattningssyndrom	2003-123-18.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-123-18.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-123-18
http://libris.kb.se/bib/9330712	Den kärntekniska olyckan i Japan 1999 /	2003-123-22_200312323.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10728/2003-123-22_200312323.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-123-22
http://libris.kb.se/bib/839856	Katastrofmedicinska studier i Västtyskland :	2003-123-32.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-123-32.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-123-32
http://libris.kb.se/bib/8873067	Hypotermi :	2003-123-6.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-123-6.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-123-6
http://libris.kb.se/bib/8876925	MS Sleipners förlisning :	2003-123-7_20031238.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10743/2003-123-7_20031238.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-123-7
http://libris.kb.se/bib/12076105	Att arbeta med äldres rehabilitering :	2003-131-10_200313110.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10790/2003-131-10_200313110.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-131-10
http://libris.kb.se/bib/10648416	Hur många direkt underställda kan en chef ha?	2003-131-23_200313123.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10803/2003-131-23_200313123.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-131-23
http://libris.kb.se/bib/9731130	Lex Sarah - efter fyra år :	200313125.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/7B7EC55E-C74E-4E5B-98BC-CFB16BB5EB16/1083/200313125.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-131-25
http://libris.kb.se/bib/9131970	Klassifikation av funktionstillstånd, funktionshinder och hälsa :	2003-4-1.pdf	http://www.socialstyrelsen.se/publikationer2003/2003-4-1.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-4-1
http://libris.kb.se/bib/10648412	Amning av barn födda	2003-42-10_20034210.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10824/2003-42-10_20034210.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-42-10
http://libris.kb.se/bib/10648769	Sjukdomar i sluten vård	2003428.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/9C27DBB5-32EC-4FAA-802F-FA17AE130CC8/1155/2003428.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-42-8
http://libris.kb.se/bib/10648409	Aborter.	2003-42-9_2003429.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10833/2003-42-9_2003429.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-42-9
http://libris.kb.se/bib/10648457	Familjerätt.	2003-44-7_2003447.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10842/2003-44-7_2003447.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-44-7
http://libris.kb.se/bib/10648885	Barn och unga	2003-44-9_2003449.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10846/2003-44-9_2003449.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2003-44-9
http://libris.kb.se/bib/10648210	Hälsoskydd vid tillfälligt boende	2004-101-2_20041012_rev.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10266/2004-101-2_20041012_rev.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-10-13
http://libris.kb.se/bib/9687452	Hälsoskydd vid tillfälligt boende :	20041013.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/81EB47EA-8087-46D6-A558-DF287AEA4254/2678/20041013.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-10-13
http://libris.kb.se/bib/9692096	Vem får göra vad i hälso- och sjukvården och tandvården?	20041015.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/1B771FA3-F290-4CBE-B7A6-705DB19642B7/2671/20041015.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-10-15
http://libris.kb.se/bib/10648374	Vem får göra vad i hälso- och sjukvården och tandvården?	20041015.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/1B771FA3-F290-4CBE-B7A6-705DB19642B7/2671/20041015.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-10-15
http://libris.kb.se/bib/10648336	Socialstyrelsens riktlinjer för vård av astma och kroniskt obstruktiv lungsjukdom (KOL)	2004-102-6_20041027.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10272/2004-102-6_20041027.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-103-10
http://libris.kb.se/bib/9723146	Socialstyrelsens riktlinjer för vård av astma och kroniskt obstruktiv lungsjukdom (KOL) :	2004-102-6_20041027.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10272/2004-102-6_20041027.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-103-10
http://libris.kb.se/bib/9501253	Jämställd vård? :	2004-103-3.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-103-3.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-103-3
http://libris.kb.se/bib/9843351	Flickor som skadar sig själva :	2004-107-1.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-107-1.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-107-1
http://libris.kb.se/bib/10648362	Strategi för samverkan i frågor som rör barn som far illa eller riskerar att fara illa	200410713.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/F817BF4A-764E-40D6-923A-018E19C8E8EC/4381/200410713.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-107-13
http://libris.kb.se/bib/9933093	Strategi för samverkan i frågor som rör barn som far illa eller riskerar att fara illa	200410713.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/F817BF4A-764E-40D6-923A-018E19C8E8EC/2706/200410713.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-107-13
http://libris.kb.se/bib/10176455	Barnet i den sociala barnavården	2004-110-12_200411012.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10341/2004-110-12_200411012.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-110-12
http://libris.kb.se/bib/10648341	Socialt arbete med barn och unga i utsatta situationer	2004-110-5.pdf	https://www.socialstyrelsen.se/publikationer2004/2004-110-5.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-110-5
http://libris.kb.se/bib/9640857	Socialt arbete med barn och unga i utsatta situationer :	2004-110-5.pdf	https://www.socialstyrelsen.se/publikationer2004/2004-110-5.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-110-5
http://libris.kb.se/bib/10648100	Educational risks and interventions for children in foster care	2004-110-9_20041109.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10349/2004-110-9_20041109.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-110-9
http://libris.kb.se/bib/10648273	Om primärvårdens domän och strategier	200412319.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/D082258B-0A77-4FA4-9DE5-0EA980A3125E/2524/200412319.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-19
http://libris.kb.se/bib/9571770	Explosionen i fyrverkerilagret i Nederländerna 2000	2004-123-20.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-123-20.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-20
http://libris.kb.se/bib/10648288	Personligt ombud för personer med psykiska funktionshinder	200412324.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/03334CF3-BBEC-4A0B-AE66-72F330EE4EE3/2353/200412324.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-24
http://libris.kb.se/bib/9571873	Personligt ombud för personer med psykiska funktionshinder :	2004-123-24.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-123-24.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-24
http://libris.kb.se/bib/10648224	Tågolyckan i Tyskland 1998	2004-123-3_20041233.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10414/2004-123-3_20041233.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-3
http://libris.kb.se/bib/9665269	EU-toppmötet i Göteborg 2001	2004-123-30_200412330eutoppmotetigoteborg2001.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10415/2004-123-30_200412330eutoppmotetigoteborg2001.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-30
http://libris.kb.se/bib/9757145	Terrorattackerna mot World Trade Center 11 september 2001	2004-123-35_200412335terrorattackenmotworldtradecenter.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10420/2004-123-35_200412335terrorattackenmotworldtradecenter.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-35
http://libris.kb.se/bib/10648366	Terrorattackerna mot World Trade Center 11 september 2001	200412335TerrorattackenmotWorldTradeCenter.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/9C9973A4-D63F-48F3-A06E-D1E33A6F4143/2843/200412335TerrorattackenmotWorldTradeCenter.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-35
http://libris.kb.se/bib/9508124	Flygolyckan i Taiwan 2000	2004-123-6_20041236.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10430/2004-123-6_20041236.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-123-6
http://libris.kb.se/bib/10648221	Insatser och klienter i behandlingsenheter inom missbrukarvården den 1april 2003	2004-125-3_20041253.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10443/2004-125-3_20041253.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-125-3
http://libris.kb.se/bib/9760099	Sexuell läggning och bemötande i socialtjänsten /	2004-131-23_200413123.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10483/2004-131-23_200413123.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-131-23
http://libris.kb.se/bib/10648235	Klassifikation av kirurgiska åtgärder 1997	2004-4-1_200441.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10244/2004-4-1_200441.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-4-1
http://libris.kb.se/bib/10648113	Dödsorsaker	2004-42-5_2004425reviderad.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10518/2004-42-5_2004425reviderad.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-42-5
http://libris.kb.se/bib/10648176	Ekonomiskt bistånd kvartal 1-4	2004-44-1_2004441.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10523/2004-44-1_2004441.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-44-1
http://libris.kb.se/bib/10648384	Äldre	2004443.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/0FB6C574-56AC-4F77-A417-47B56E1A8199/2268/2004443.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-44-3
http://libris.kb.se/bib/10648183	Familjerätt.	2004-44-6_2004446.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10531/2004-44-6_2004446.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-44-6
http://libris.kb.se/bib/10648440	Ekonomiskt bistånd årsstatistik	2004-44-8_2004448.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10533/2004-44-8_2004448.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-44-8
http://libris.kb.se/bib/9774850	Barn och unga:	2004-44-9.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-44-9.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2004-44-9
http://libris.kb.se/bib/10276732	Landstingens uppsökande verksamhet och nödvändig tandvård	2005-103-9_200510391.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9878/2005-103-9_200510391.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-103-9
http://libris.kb.se/bib/11435549	God vård på lika villkor	2005-107-13_200510714.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9888/2005-107-13_200510714.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-107-13
http://libris.kb.se/bib/10647658	Personsanering vid händelser med farliga ämnen	20051072.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/63986BEC-EB28-4E5B-BF58-DE1185AD136F/3139/20051072.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-107-2
http://libris.kb.se/bib/9810637	Mätning av barns och ungdomars psykiska hälsa :	20051072.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/9A59DD7E-EE6A-4230-9593-4539D290238B/2938/20051072.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-107-2
http://libris.kb.se/bib/10647238	Lättare sagt än gjort	2005-109-3_20051093.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9938/2005-109-3_20051093.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-112-1
http://libris.kb.se/bib/10176432	Bedömning av ett barnavårdsärende	2005-112-2_20051124.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9971/2005-112-2_20051124.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-112-2
http://libris.kb.se/bib/10176429	Förutsättningar för socialbidragsarbete	2005-112-7_20051127.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9976/2005-112-7_20051127.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-112-7
http://libris.kb.se/bib/10647119	Batr al-aÊ»dÌ£aÌ„Ê¼ al-jinsiÌ„ya ladaÌ„ al-nisaÌ„Ê¼	2005-114-3_20051143.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9999/2005-114-3_20051143.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-114-3
http://libris.kb.se/bib/10647649	Personligt ombud - på klientens uppdrag	2005-123-15_200512315.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10081/2005-123-15_200512315.pdf	https://socialstyrelsen.se/_api/publication/huvuddokument/?artikelnummer=2005-123-15
