auth/128699	Socialdepartementet
bib/11807128	[Elektroniska resurser,Digitaliseringar= ?,?,?] Bacchanaliska qwäden
bib/9102438	[Fortlöpande resurser,Tidskrift/årsbok = ?,?,?] Arena
bib/9773188	[Fortlöpande resurser,Integrerande resurs = ?,?,?] Socialavgifter
bib/8351919	[Fortlöpande resurser,Integrerande resurs = ?,?,?] Socialavgifter supplement
bib/10393902	[Kartor = Cartography,ComponentPart] Karta över Skandinavien
bib/11850823	[Ljud- och talböcker = Audio,Monograph] Onskan
bib/1997018	[Musiktryck = NotatedMusic,Monograph] Solo piano [Musiktryck] / Philip Glass
bib/13538239	[Samlingsposter = ?,?,?] Kungliga biblioteket i Stockholm - samling av vykort
bib/11714976	[Samlingsverk = ?,?,?] Det var en gång
bib/11418710	[Skolböcker = ?,?,?] Dags!
bib/16092548	[Spelfilmer = ProjectedImage,Monograph,Videorecording] Återträffen
bib/8549011	[Bidrag i tidskrift = ?,?,?]
bib/8550505	[Bidrag i årsbok = ?,?,?]
bib/9062707	[Bidrag i monografi (samlingsverk) med titel (=245) som huvuduppslag = ?,?,?]
bib/8816214	[Bidrag i monografi med person (=100) som huvuduppslag = ?,?,?]
bib/9186194	[Bidrag i monografi med institution (=110) som huvuduppslag = ?,?,?]
bib/8425289	[Bidrag i monografi med konferens (=111) som huvuduppslag = ?,?,?]
bib/10131357	[Bidrag i monografi i serie, där man i artikelposten vill uttrycka monografins serietillhörighet = ?,?,?]
bib/10150410	[Bidrag i en monografisk årgång av en årsbok = ?,?,?]
bib/2317684	[Bidrag i ett monografiskt häfte av en tidskrift = ?,?,?]
bib/2267872	[Bidrag i dagstidning = ?,?,?]
bib/8434927	[Recension med egen titel = ?,?,?]
bib/9461508	[Recension utan egen titel = ?,?,?]
bib/8463462	[Samlingsrecension med egen titel = ?,?,?]
bib/8836613	[Samlingsrecension utan egen titel = ?,?,?]
bib/8435255	[Bidrag med efterföljande repliker där varje inlägg får en egen post = Text,ComponentPart]
bib/8435491	[-||-]
bib/8435505	[-||-]
bib/8435499	[-||-]
bib/8435506	[-||-]
bib/8595377	[–||– förenklat sätt att notera repliker som följer på artikel/recension = ?,?,?]
bib/10796401	subject.broader:historia
bib/11311266	
bib/11357644	
bib/11601582	
bib/11691597	
bib/11850823	
bib/11911628	
bib/12035894	
bib/12289439	
bib/1234	Water and water pollution handbook. Vol. 2
bib/12384646	
bib/12732969	
bib/12743333	
bib/13531679	
bib/13543149	
bib/13584984	
bib/13884869	
bib/13973072	
bib/14006223	har subject.broader.prefLabel:Aktiemarknad
bib/2912361	har relation.@type=Work, relation.uniformTitle:Metamorphoses (auth/345526)
bib/3222798	
bib/3678656	
bib/4582889	
bib/48077	Länkar till Pengar auth/156486 via subject
bib/5067018	
bib/5299954	
bib/6128247	
bib/664491	(länkar till Tove Jansson auth/19153 via attributedTo)
bib/7149593	
bib/816912	Mumintrollet (huvudpost; länkar till Lars Jansson auth/191493 via contributorList)
bib/816913	Mumintrollet (del 1)
bib/8261338	Kalle Anka & C:o (Serie)
bib/827126	Mumintrollet (länkar till Tove Jansson auth/19153 som attributedTo)
bib/8558889	Encyclopedia of education
bib/8211184	Nationalencyclopedin (många beståndsposter)
bib/12739812	person och institution
bib/13457927	Kjellström, Rolf: Nybyggarliv i Vilhelmina med person + 2 institutioner. Har subject.broader.prefLabel:historia
bib/14229095	Tolv skånska slott = Twelve castles in Scania - bok på svenska samt engelsk översättning av densamma (parallelltext)
bib/13828318	Gustaf med Guds nåde etc (Handskrift med lång titel)
bib/2579165	Dissertatio historica de banno majori et minori (Gammal svensk avhandling)
bib/3297563	Öfwer-Ståthållare-Embetets Kungörelse (Gammal svensk kungörelse)
bib/11807650	Upptäck Dalarnas bergslag [Kartografiskt material]
bib/11808539	Discover the mining district of Dalarna [Kartografiskt material]
bib/7400378	Androidens drömmar (Verk med originaltitel)
bib/10299827	Bladerunner [Videoupptagning]
bib/11925719	Do Androids Dream of Electric Sheep? : filmed as Blade Runner
bib/10600578	The Codex Gigas : a revised version of the Georg Svensson lecture delivered at The National Library of Sweden
bib/8594660	Wagonmaster; directed by John Ford (multiple 007:s)
bib/10630108	Grünsee. Brachland : zwei Romane /Christoph Geiser (multiple 006:s)
bib/12629738	MTM-post med rå annan MARC i 886
bib/15211258	Después de Lucía [Videoupptagning] = Smärtgränsen
bib/16254390	Runner runner [Videoupptagning]
bib/15203202	WWE 2k14 [Elektronisk resurs]
bib/14857863	Angry birds star wars [ Elektronisk resurs]
bib/16234138	Plants vs. zombies garden warfare [Elektronisk resurs]
bib/11521151	a Elder scrolls.n 4, ,p Oblivion h [Xbox360]
bib/11518540	a Castlevania b curse of darkness h [Playstation 2]
bib/13602899	a Borderlands 2 h [Elektronisk resurs] b TV-spel (Playstation 3)
bib/11553680	Viola da gamba sonatas [Ljudupptagning] / Johann Sebastian Bach
bib/8260527	Illustrerad Vetenskap (Tidskrift)
bib/8264634	Populär Historia (Tidskrift)
bib/136803	Kalla Kårar (Skriftserie)
bib/14704146	The Fellowship of the Ring
bib/11472439	Sagan om ringen - Härskarringen [Video (DVD)]
bib/11849681	A clockwork orange [Ljudupptagning]
bib/1901387	Electric counterpoint [Musiktryck]
bib/10233308	Arvo Pärt [Videoupptagning]
bib/5485896	The piano [Musiktryck]
bib/12536611	Trasig 010
bib/9201665	Ica förlagets världsatlas [Kartografiskt material]
bib/8932622	Cosmographia [Kartografiskt material]
bib/14288109	Jordglogb wonder celestial 42008 stjärnhimlen, utan belysning [Kartografiskt material]
bib/2937744	Karta öfver norra stjärnhimmeln [Kartografiskt material]
bib/11221026	Vorstellung der Sonnen oder Erd Finsternis... [Kartografiskt material
bib/10601945	Tabulae de collectionibus archivi Raygradensis [kartografiskt material]
bib/14608758	The biology of cancer / Robert A. Weinberg 2nd ed.
bib/10202722	The biology of cancer / Robert A. Weinberg, cd-rom
bib/13565021	Åren i Paris : [roman] / Paula McLain ; översättning av Isa Lybeck
bib/14744539	Carmen och döden : [en Konrad Sejer-deckare] /Karin Fossum ; översättning: Margareta Järnebrand
bib/739491	(Blondie (1951)) [seriell]
bib/575085	(Nya Blondie) [seriell]
bib/3618984	(Kul med Blondie) [seriell]
bib/3621577	(Blondie & Karl-Alfred) [seriell]
bib/8257615	Fornvännen (print -- notera MARC-fält 599=Indexeringslänk) [seriell]
bib/4346444	Fornvännen (online) --- här även med digitaliseringsflagga (042#9=DIGI) [seriell]
bib/3415275	International journal of gynaecology and obstetrics (print) [seriell]
bib/9033354	International journal of gynaecology and obstetrics (online) [seriell]
bib/3708524	Acta linguistica Hafniensia (utländsk tidskrift) [seriell]
bib/14608651	International Journal of Engineering Innovations and Research (utländsk tidskrift, maskinellt genererad rudimentär post för e-tidskrift, länkmål till tryckt version saknas i Libris) [seriell]
bib/3673618	Beiträge zum ausländischen und internationalen Privatrecht (En seriehuvudpost, där delarna är särkatalogiserade och behandlas som vanliga monografier (mindre vanligt att man gör sammanhållande huvudposter idag)) [seriell]
bib/13906314	Jag vet vem du är [Kombinerat material] / av Kerstin Erlandsson-Svevar (textbok, mp3-CD ; barn/ungdom)
bib/14218500	Mindfulness i svåra situationer [Kombinerat material] : träningsprogram / Igor Ardoris
bib/14786209	Guldfisken [Kombinerat material] / Susanna Alakoski
bib/14130458	Från tunnelbana till fåtölj [Kombinerat material] : en bilderbok för vuxna (Christers labbpost; har RDA-fält)
bib/8997956	Kart- & bildteknik = Mapping and image science / Swedish Cartographic Society / Kartografiska sällskapet [seriell]
bib/12683491	Kammarmusik-nytt : Kammarmusikförbundets tidskrift [seriell]
bib/4112475	Nordisk museologi [seriell]
bib/3413533	Hemmets Journal [seriell]
bib/1513208	Styrelser och revisorer i Sveriges börsföretag / Anneli Sundin, Sven-Ivan Sundqvist [seriell]
bib/11798968	Post kopplad till exempel på bestånd
bib/16583077	Post kopplad till exempel på bestånd
bib/14854711	Post kopplad till exempel på bestånd
bib/12191039	Post kopplad till exempel på bestånd
bib/335431	Post kopplad till exempel på bestånd
bib/2944641	Post kopplad till exempel på bestånd
bib/2413961	Post kopplad till exempel på bestånd
bib/14805941	Post kopplad till exempel på bestånd
bib/1858131	Post kopplad till exempel på bestånd
bib/8261414	Post kopplad till exempel på bestånd
bib/568184	Post kopplad till exempel på bestånd
bib/10380624	Post kopplad till exempel på bestånd
bib/7274677	Post kopplad till exempel på bestånd
bib/13654881	Welcome to my nightmare
bib/14808379	Nya nordiska operahus
bib/12384272	Steve jobs - en biografi
bib/9658145	PO Enquist - Livläkarens besök
bib/12453545	Anders Sundelin - Den magiska cirkeln
bib/14011798	John Grisham - Svindlaren (inb)
bib/15177759	John Grisham - Svindlaren (pocket)
bib/14211216	Kalle Anka & CO - Den kompletta årgången 1968 del 4

hold/15726821	
hold/15958795	
hold/18472436	
hold/22266746	
hold/23452070	
hold/32752629	
hold/718795	
hold/718796	
hold/718797	
hold/718798	
hold/718800	
hold/718801	
hold/718802	
hold/718803	
hold/718804	
hold/718805	
hold/718806	
hold/718807	
hold/718809	
hold/718810	
hold/718811	
hold/718812	
hold/718813	
hold/718814	
hold/718815	
hold/718817	
hold/718818	
hold/718819	
hold/26746600	(http://libris.kb.se/bib/11798968?tab3=marc&vw=full) – monografiskt bestånd med enbart sigel
hold/39698169	(http://libris.kb.se/bib/16583077?tab3=marc&vw=full) – monografiskt videobestånd med enkelt hyllsignum (852h)
hold/37789933	(http://libris.kb.se/bib/14854711?tab3=marc&vw=full) – monografiskt bestånd med flerledat hyllsignum (852h+j), intern beståndsanmärkning, teknisk anmärkning (NB-kodning som används för uttag av NB-produkter) m.m.
hold/29592875	(http://libris.kb.se/bib/12191039?tab3=marc&vw=full) – monografiskt bestånd ursrpungligen maskinellt genererat från medieleverantör Dawson (Förvärvsrutinen), här med lokalt definierat fält 948  (finns flera sådana lokalt definierade beståndsfält, se http://www.kb.se/katalogisering/Formathandboken/Bestand/9XX/
hold/6080741	(http://libris.kb.se/bib/335431?tab3=marc&vw=full) – monografiskt bestånd till konverterad del i flerbandsverk (där 852 med ”$8 \c” avser delen och det det andra 852 avser huvudpost
hold/28174569	(http://libris.kb.se/bib/2944641?tab3=marc&vw=full) – monografiskt äldretryck med exemplarinfo för flera exemplar
hold/26221124	(http://libris.kb.se/bib/2413961?tab3=marc&vw=full) – monografiskt äldretryck med personbiuppslag på tidigare ägare
hold/37769794	(http://libris.kb.se/bib/14805941?tab3=marc&vw=full) – eboksbestånd med maskinellt genererat proveniensflaggade beståndsfält (Atingo), samma modell kommer att implementeras även för e-böcer från Elib
hold/37985194	((http://libris.kb.se/bib/14805941?tab3=marc&vw=full) – samma som ovan, men här maskinellt kompletterad med deleteflagga för att lokala systemleverantörer ska kunna hantera tillgång
hold/40508888	(http://libris.kb.se/bib/1858131?tab3=marc&vw=full) – tidskrift med enkelt hyllsignum (852h) + beståndsinfo (866)
hold/14225535	(http://libris.kb.se/bib/8261414?tab3=marc&vw=full) – tidskrift med konverterat bestånd: biblänk (014) + flera exemplar i fkera sammanlänkade ($8) 852 + bestånd (866)
hold/33359920	(http://libris.kb.se/bib/568184?tab3=marc&vw=full) – tidskrift med årgångsindelat bestånd i upprepade 863 (kan ev. användas för att i framtiden generera separata bibliografiska tidskriftsårgångsposter, önsekmål från ffa folkbibliotek)
hold/30966941	(http://libris.kb.se/bib/10380624?tab3=marc&vw=full) – e-tidskrift med maskinellt genererat länkserverbestånd (inkl. åtkomstlänkar) till flera olika leverantörer/plattformar
hold/24217080	(http://libris.kb.se/bib/7274677?tab3=marc&vw=full) – monografiskt bestånd med produktkod (leader/07) av betydelse för uttag av statistik/nyförvärvslista
